"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","INC_cntTotal","INC_cntCorrect","INC_rtMean","INC_rtMedian","INC_rtStDev","INC_nihMedian","INC_accuracy_Fieldname","CON_cntTotal","CON_cntCorrect","CON_rtMean","CON_rtMedian","CON_rtStDev","CON_nihMedian","CON_accuracy_Fieldname","reportDate"
"1122","PespF18","3348","17331","NA","flanker","9557s3t4j6ekl2ak8c6ou4c105","fhJRLun0~d","6.99539","2018-10-10 09:42:16","42","39","5","1","2.35254","16","15","890.8","839","421.582","839","0.9375","16","14","1938.57","725","2205.29","725","0.875","2018-12-21 14:56:08"
"1123","PespF18","3348","17330","NA","flanker","og2ivive97r370q8j3qa5ids73","dSWr0BqG_d","3.57143","2018-10-10 09:36:45","42","30","4","0","3.24648","16","7","2175.14","517","4463.09","517","0.4375","16","13","1566.31","821","1743.7","821","0.8125","2018-12-21 14:56:09"
"1124","PespF18","3348","17329","NA","flanker","rf6jclc152jk363uq707ql8nu1","Uk4qKBCGla","3.09524","2018-10-10 09:36:38","42","26","3","0","2.96544","16","3","730","602","434.382","602","0.1875","16","13","970.538","690","1065.19","690","0.8125","2018-12-21 14:56:11"
"1125","PespF18","3348","17328","NA","flanker","25iqgo7sjg35j3gj23jc3brva4","VlU_nZsZ70","4.52185","2018-10-10 09:42:03","42","35","4","1","0.355185","16","9","4032.22","2478","3857.08","2475","0.5625","16","16","1831","1537.5","881.742","1537.5","1","2018-12-21 14:56:12"
"1126","PespF18","3348","17327","NA","flanker","8ujnk3ucpesnr3pg1lqav8of02","HIKtTQmSx9","3.80952","2018-10-10 09:41:55","42","32","4","0","2.81247","16","8","573.75","654","209.005","654","0.5","16","14","815.5","658.5","497.911","658.5","0.875","2018-12-21 14:56:13"
"1127","PespF18","3348","17326","NA","flanker","3grpl7llvqv30cjkrh4alpq557","m6bn9FtZy2","6.50823","2018-10-10 09:41:09","42","35","4","1","2.34156","16","9","1046.22","844","810.916","844","0.5625","16","16","835.5","629","674.956","603","1","2018-12-21 14:56:14"
"1128","PespF18","3348","17325","NA","flanker","mian6isbls3al83bpgi2cqt2d0","CEp6P9Orgp","7.1635","2018-10-31 09:31:25","42","40","5","1","2.4016","16","15","4799.8","914","8470.02","817","0.9375","16","15","742.067","647","317.038","647","0.9375","2018-12-21 14:56:16"
"1129","PespF18","3348","17324","NA","flanker","ts5fk8p5g72pgnot9ctbo69ct1","sbf6fATPbj","4.64286","2018-10-10 08:33:08","14","13","5","1","0","0","0","0","0","0","0","0","4","3","2670","1175","3123.47","1175","0.75","2018-12-21 14:56:17"
"1130","PespF18","3348","9466","NA","flanker","orfbsn6ul3bk3762q5j6c7iqr1","jBwCg2K5PB","8.95623","2018-10-09 23:06:33","42","42","5","1","3.95623","16","16","353.812","352","52.8485","352","1","16","16","385.188","391.5","73.255","391.5","1","2018-12-21 14:56:18"
"1131","PespF18","3348","9466","NA","flanker","orfbsn6ul3bk3762q5j6c7iqr1","jBwCg2K5PB","8.95623","2018-10-09 23:06:33","42","42","5","1","3.95623","16","16","353.812","352","52.8485","352","1","16","16","385.188","391.5","73.255","391.5","1","2018-12-21 14:56:18"
"1132","PespF18","3348","8284","NA","flanker","v2lvj66kvpdqkd41sdk1e93ji4",,"5","0000-00-00 00:00:00","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2018-12-21 14:56:19"
