"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","INC_cntTotal","INC_cntCorrect","INC_rtMean","INC_rtMedian","INC_rtStDev","INC_nihMedian","INC_accuracy_Fieldname","CON_cntTotal","CON_cntCorrect","CON_rtMean","CON_rtMedian","CON_rtStDev","CON_nihMedian","CON_accuracy_Fieldname","reportDate"
"663","PUF18","3275","17665","NA","flanker","prej76jfa3avm6fufutl91mgd1","N9b7GhbOf_","6.97772","2018-10-23 13:58:09","42","35","4","1","2.81106","16","10","629.7","654.5","266.208","654.5","0.625","16","15","624.333","536","445.406","505.5","0.9375","2018-12-20 17:50:12"
"664","PUF18","3275","17663","NA","flanker","75nt8ak7v77dqnvbut0euvfj14","pBS_Nu93tZ","3.45238","2018-10-23 13:56:00","42","29","3","0","2.56451","16","6","6149.83","812.5","13123.4","748","0.375","16","13","640.538","591","208.213","591","0.8125","2018-12-20 17:50:15"
"665","PUF18","3275","17662","NA","flanker","551snu5q7g6ql9r6diqrfirgo1","IOt_KX7kpI","3.45238","2018-10-23 13:56:29","42","29","3","0","1.78164","16","4","1519.75","1143","1292.77","1143","0.25","16","15","893.133","778","502.919","747","0.9375","2018-12-20 17:50:17"
"666","PUF18","3275","17661","NA","flanker","rslrlr2dd8pql5mut9fir0k385","pz@u3FRNLT","3.92857","2018-10-30 13:55:11","42","33","4","0","2.89031","16","7","1677.14","627","2664.21","627","0.4375","16","16","897.312","736","404.52","736","1","2018-12-20 17:50:19"
"667","PUF18","3275","17659","NA","flanker","ugi8tr5uc7ntsul5fk0gocvjp6","EbKEFCvK2W","7.31941","2018-10-23 13:55:04","42","38","5","1","2.7956","16","13","730.231","660","184.033","660","0.8125","16","15","543.533","500","106.253","500","0.9375","2018-12-20 17:50:23"
"668","PUF18","3275","17657","NA","flanker","k19m8c2bsjf96qh4ot9rsg5iu1","TcAKur4s4T","6.92327","2018-10-23 13:58:07","42","41","5","1","2.04232","16","16","1053.88","992.5","425.07","992.5","1","16","15","1107.87","685","1497.15","684.5","0.9375","2018-12-20 17:50:25"
"669","PUF18","3275","17655","NA","flanker","6qo9lpuv3hnukqaeja4mo20ma2","Py1K@qguik","6.62581","2018-10-30 13:57:49","42","41","5","1","1.74486","16","15","1412.73","1166","680.799","1166","0.9375","16","16","1110.5","811","794.023","773","1","2018-12-20 17:50:29"
"670","PUF18","3275","17654","NA","flanker","n62lj8drqmnidu7us8ujp0k836","r8lcU5EuAN","7.63623","2018-10-23 13:59:42","42","42","5","1","2.63623","16","16","821.062","719.5","304.583","719.5","1","16","16","810.375","548","729.423","547","1","2018-12-20 17:50:32"
"671","PUF18","3275","17653","NA","flanker","g5jrdobm68q4t47nc35nd58o71","gKUGstm2nX","7.2467","2018-10-23 14:00:55","42","40","5","1","2.4848","16","14","1494.43","787","1843.63","781","0.875","16","16","1521","813.5","1840.23","724","1","2018-12-20 17:50:33"
"672","PUF18","3275","17651","NA","flanker","mhalnehecbbqc7hu6q7v8cfa64","8wQ3D-8J-s","6.76344","2018-10-23 13:57:57","42","36","4","1","2.47772","16","11","1155.91","784","850.087","784","0.6875","16","15","649","602","204.922","571","0.9375","2018-12-20 17:50:36"
"673","PUF18","3275","17645","NA","flanker","7ba5h256hegii5qml1ohs32460","cTjfPtyKFw","3.80952","2018-10-30 13:21:27","42","32","4","0","2.22912","16","7","917.429","848","477.758","897","0.4375","16","15","762.267","610","496.82","910","0.9375","2018-12-20 17:50:46"
"674","PUF18","3275","17642","NA","flanker","87nfjq1oicarb47ph7vmiccku0",,"5","0000-00-00 00:00:00","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2018-12-20 17:50:51"
"675","PUF18","3275","17642","NA","flanker","darrhja936rrmcb5brrmcuh0b6","oqUF7l25jp","6.79245","2018-10-30 13:11:26","42","38","5","1","2.26865","16","12","1020.42","878","527.018","878","0.75","16","16","663.5","615","225.33","615","1","2018-12-20 17:50:52"
"676","PUF18","3275","17641","NA","flanker","qbest2dplirtau4c3nm0bfcg63","NklDaoRcwq","7.623","2018-10-23 13:16:08","42","40","5","1","2.8611","16","15","807.933","662","549.842","637","0.9375","16","15","561.533","519","176.165","519","0.9375","2018-12-20 17:50:53"
"677","PUF18","3275","17640","NA","flanker","8da5qdh3u24ngmh1vmqhk9aci3","rNY5GmG8Yo","8.34512","2018-10-23 13:15:10","42","41","5","1","3.46417","16","15","515.467","461","221.18","459.5","0.9375","16","16","440.688","410","151.774","407","1","2018-12-20 17:50:55"
"678","PUF18","3275","17638","NA","flanker","rgfb2qodsu6c1jjprfn5043rm0","aj~eYCWtgv","7.83721","2018-10-30 13:21:24","42","41","5","1","2.95626","16","16","827.438","616","699.422","605","1","16","15","773.6","589","524.927","589","0.9375","2018-12-20 17:50:58"
"679","PUF18","3275","17637","NA","flanker","7n642kf3naghdaklaee7oevug6","Ghj5RhVydJ","7.82615","2018-10-23 13:16:10","42","39","5","1","3.18329","16","13","627.769","535","255.286","535","0.8125","16","16","588.562","479","312.979","479","1","2018-12-20 17:51:00"
"680","PUF18","3275","17636","NA","flanker","vvoo3mrfrsir33equm9t3nc2o3","wSNoGYEOeD","7.87127","2018-10-23 13:16:01","42","42","5","1","2.87127","16","16","794.688","633.5","360.867","633.5","1","16","16","785.625","600.5","544.519","600","1","2018-12-20 17:51:01"
"681","PUF18","3275","17635","NA","flanker","a5ptpg5np44bj8peqo5c12vkt0","iLGdiZut-v","5.23567","2018-10-23 13:17:45","42","42","5","1","0.235675","16","16","2640.5","2640.5","693.841","2640.5","1","16","16","1334.94","1002.5","841.689","1002.5","1","2018-12-20 17:51:03"
"682","PUF18","3275","17634","NA","flanker","rcle5f29prt2lk0fnn8vure5t3","Ro8B-eLlLW","3.57143","2018-10-23 13:17:09","42","30","4","0","1.57047","16","6","1621.17","1281.5","973.648","1281.5","0.375","16","14","732.571","726.5","144.686","726.5","0.875","2018-12-20 17:51:05"
"683","PUF18","3275","17632","NA","flanker","mnteuumvaek7mjkfai50av3dq6","@CoAD@N5I@","7.64234","2018-10-23 13:14:57","42","39","5","1","2.99949","16","13","695.538","591","270.41","591","0.8125","16","16","581.125","534.5","156.21","534.5","1","2018-12-20 17:51:10"
"684","PUF18","3275","17630","NA","flanker","p6bl53s8av63501fslmnha4fn7","rxmDULBA68","8.10966","2018-10-23 13:18:32","42","41","5","1","3.22871","16","16","535.188","525","148.475","522","1","16","15","644.467","514","374.87","514","0.9375","2018-12-20 17:51:13"
"685","PUF18","3275","17629","NA","flanker","09spuii7ms2k4g770ft0ifr2o0","~A_RT9TTV4","7.87411","2018-10-30 13:21:49","42","40","5","1","3.1122","16","14","693","556","310.835","556","0.875","16","16","658.375","542","367.327","539","1","2018-12-20 17:51:14"
"686","PUF18","3275","17628","NA","flanker","e7pn95nqootp7l2dbebae709k3","ui4i177uEI","7.8611","2018-10-30 13:19:34","42","42","5","1","2.8611","16","16","710.125","639.5","261.6","637","1","16","16","847","668.5","603.533","650","1","2018-12-20 17:51:16"
"687","PUF18","3275","17627","NA","flanker","ki3nnnohlbb3rntgdnc8d48uf2","FUf@h4V52@","6.3259","2018-10-23 13:18:50","42","42","5","1","1.3259","16","16","1618","1523.5","956.264","1463","1","16","16","1199.38","1019","557.462","1019","1","2018-12-20 17:51:19"
"688","PUF18","3275","17625","NA","flanker","7pg38ovfh3eo90t5e6fgsng8v3","PbnxCg3Iw4","7.84792","2018-10-23 13:16:56","42","41","5","1","2.96697","16","15","926.733","618","948.615","601.5","0.9375","16","16","759.812","633","378.382","633","1","2018-12-20 17:51:23"
"689","PUF18","3275","17623","NA","flanker","7i2g8msc2dtb3hsc1195r73tj5","86S6aOlqmm","6.71348","2018-10-23 11:02:40","42","40","5","1","1.95157","16","14","1095.14","1042.5","279.015","1042.5","0.875","16","16","682","671","103.658","671","1","2018-12-20 17:51:26"
"690","PUF18","3275","17622","NA","flanker","odbenbkfef1k7hqac357vl1943","7St7~TIwbs","8.23757","2018-10-23 11:01:05","42","42","5","1","3.23757","16","16","530.625","519.5","149.154","519.5","1","16","16","613.812","485.5","398.942","485.5","1","2018-12-20 17:51:28"
"691","PUF18","3275","17621","NA","flanker","868j6da2ev759a8bk1pqrjf630","wHrfu-UXnL","7.42205","2018-11-20 11:07:01","42","42","5","1","2.42205","16","16","1217.69","857.5","1030.73","808","1","16","16","1305.06","836","1039.4","836","1","2018-12-20 17:51:30"
"692","PUF18","3275","17620","NA","flanker","4ruc52at98768nmuvlm1t74pb6","taOBNuaBGN","3.92857","2018-10-23 11:03:15","42","33","4","0","2.69755","16","7","666","696","98.4937","696","0.4375","16","16","560.312","542.5","158.44","542.5","1","2018-12-20 17:51:33"
"693","PUF18","3275","17619","NA","flanker","kd425d7dde2v72qoctgh7eiva4","Q6u1wf2mcf","3.80952","2018-10-23 11:01:44","42","32","4","0","1.34876","16","6","1330.5","1445","465.141","1445","0.375","16","16","642.812","610","158.671","610","1","2018-12-20 17:51:33"
"694","PUF18","3275","17618","NA","flanker","vlmqmeagmlptvucsa70h37ekk2","AktSFksGGt","3.09524","2018-10-23 11:03:12","42","26","3","0","0","16","0","0","0","0","0","0","16","16","896.625","767","482.081","767","1","2018-12-20 17:51:35"
"695","PUF18","3275","17617","NA","flanker","t4anqsn90s0v6ns9ut39j4i454","LFawtlLSzp","8.04809","2018-10-23 11:00:13","42","40","5","1","3.28619","16","14","562.786","511.5","200.565","506","0.875","16","16","582.25","506","312.192","499","1","2018-12-20 17:51:37"
"696","PUF18","3275","17616","NA","flanker","ft9kvrqc7l3u0g9r7kob36pfn7","VsFc1dxabY","7.49904","2018-10-23 11:02:41","42","42","5","1","2.49904","16","16","825.688","775","228.529","775","1","16","16","826.188","608","532.392","592","1","2018-12-20 17:51:40"
"697","PUF18","3275","17615","NA","flanker","70vqddirnlmaud7hs7qfec3pf3","ykJjvqEtEd","5.1732","2018-10-30 10:59:40","42","39","5","1","0.53034","16","14","3467.57","2316","3089.1","2251","0.875","16","15","3405.93","922","5886.75","896","0.9375","2018-12-20 17:51:41"
"698","PUF18","3275","17613","NA","flanker","7ufr8ue49fe2jost2hhp37mpl4","Li_J_ZahFr","8.06424","2018-10-23 11:04:27","42","41","5","1","3.18329","16","15","581.6","535","249.073","535","0.9375","16","16","556.875","464.5","223.419","464.5","1","2018-12-20 17:51:45"
"699","PUF18","3275","17612","NA","flanker","1scsqq6ajpik3e5j4pmnmtffl5","j2wCZCmtNy","3.92857","2018-11-27 11:04:31","42","33","4","0","2.43351","16","12","1678","803","2612.86","803","0.75","16","11","1405.36","585","2546.09","650.5","0.6875","2018-12-20 17:51:46"
"700","PUF18","3275","17612","NA","flanker","1scsqq6ajpik3e5j4pmnmtffl5","j2wCZCmtNy","3.92857","2018-11-27 11:04:31","42","33","4","0","2.43351","16","12","1678","803","2612.86","803","0.75","16","11","1405.36","585","2546.09","650.5","0.6875","2018-12-20 17:51:46"
"701","PUF18","3275","17611","NA","flanker","4n6843htdvaumv5u7g4ttt74v5","cL9E4t7Ng7","8.07462","2018-10-23 11:00:37","42","41","5","1","3.19367","16","15","609.267","532","283.485","532","0.9375","16","16","580.5","492","306.698","489","1","2018-12-20 17:51:50"
"702","PUF18","3275","17611","NA","flanker","5fmnthkp42kk4914dnh33comp4",,"5","0000-00-00 00:00:00","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2018-12-20 17:51:50"
"703","PUF18","3275","17611","NA","flanker","5fmnthkp42kk4914dnh33comp4",,"5","0000-00-00 00:00:00","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2018-12-20 17:51:50"
"704","PUF18","3275","17611","NA","flanker","mgjspkdc2qihqe1kitpnl7ii55",,"5","0000-00-00 00:00:00","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2018-12-20 17:51:50"
"705","PUF18","3275","17611","NA","flanker","pesc5f0jebc8qujr19ckhiqqa2","8@1_JkVoDk","8.41071","2018-11-20 11:00:54","42","42","5","1","3.41071","16","16","482.062","473","99.6912","473","1","16","16","483.312","465.5","116.683","465.5","1","2018-12-20 17:51:50"
"706","PUF18","3275","17610","NA","flanker","brmn9bgqef3om57ec6qbd0tsa5","c7rAx3Byix","8.45907","2018-10-23 11:00:24","42","41","5","1","3.57811","16","15","446.933","432","98.7309","432","0.9375","16","16","359.312","367.5","36.827","367.5","1","2018-12-20 17:51:52"
"707","PUF18","3275","17608","NA","flanker","peju3aokenecmulvbmkgf49ml7","c0HpO8aUFp","8.11675","2018-10-23 11:01:31","42","41","5","1","3.23579","16","15","540.067","520","102.454","520","0.9375","16","16","453.188","456","88.6786","456","1","2018-12-20 17:51:55"
