"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","nondominant_cntTotal","nondominant_cntCorrect","nondominant_rtMean","nondominant_rtMedian","nondominant_rtStDev","nondominant_nihMedian","nondominant_accuracy_Fieldname","dominant_cntTotal","dominant_cntCorrect","dominant_rtMean","dominant_rtMedian","dominant_rtStDev","dominant_nihMedian","dominant_accuracy_Fieldname","reportDate"
"1008","FA18UCpost","3625","16815","NA","dccs","hel2rnss0klidfav4spmen6do4","pub_rj3mgSBEYF","3.75","2018-11-27 09:58:15","36","27","4","0","0.215158","5","1","2717","2717","0","2717","0.2","21","16","2511.19","1016","2702.97","1016","0.761905","2019-03-20 16:52:26"
"1007","FA18UCpost","3625","16816","NA","dccs","p134tgfnlh9cgg3gfna6l0r347","pub_ZlRJPK0LZB","5","2018-12-04 09:51:12","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2019-03-20 16:52:24"
"1006","FA18UCpost","3625","16816","NA","dccs","7m3tr78uvkrsg1tsf5f61g9u42","pub_WfX-UT6Dy6","7.00484","2018-12-04 10:08:02","39","35","4","1","2.51766","6","5","1091.6","941","397.343","941","0.833333","23","20","969.6","870.5","241.137","870.5","0.869565","2019-03-20 16:52:24"
"1005","FA18UCpost","3625","16816","NA","dccs","eeap4afpg37cl2f7a1cqu67hc5","pub_vegGkVpzw7","9.08128","2018-11-27 10:09:08","17","17","5","1","4.08128","1","1","458","458","0","458","1","6","6","515.167","495","166.694","495","1","2019-03-20 16:52:23"
"1004","FA18UCpost","3625","16817","NA","dccs","30afq4bbp3vri8jld8mjpgumq3","pub_DCmIYkOCJ9","7.49748","2018-12-04 09:46:22","39","37","5","1","2.75389","6","5","966.2","844","237.907","844","0.833333","23","22","2036.32","1573","1750.06","1534","0.956522","2019-03-20 16:52:21"
"1003","FA18UCpost","3625","16818","NA","dccs","plbhki1o3jvckmm4agjb2hqgs2","pub_gP5MXXrHSD","7.63744","2018-11-27 10:03:48","39","39","5","1","2.63744","6","6","983.333","890.5","308.827","890.5","1","23","23","1062.09","845","497.945","845","1","2019-03-20 16:52:18"
"1002","FA18UCpost","3625","16820","NA","dccs","s365qrg78213eaust63u5r3872","pub_HlxTQhM7JF","8.9121","2018-11-27 11:20:05","38","37","5","1","4.04368","6","5","477.4","466","110.686","466","0.833333","22","22","512","394.5","418.856","393","1","2019-03-20 16:52:14"
"1001","FA18UCpost","3625","16821","NA","dccs","penuh8g9k58kj18n8eli62pu15","pub_CN6Uo6hPjK","0","2018-11-27 11:24:35","39","33","4","1","0","6","0","0","0","0","0","0","23","23","664.565","596","378.138","600.5","1","2019-03-20 16:52:10"
"1000","FA18UCpost","3625","16822","NA","dccs","okb59h0v2h5q81j2de0coh5ii2","pub_Ph5yGxaHRx","7.59334","2018-11-27 11:20:23","37","34","5","1","2.99875","5","3","672","754","287.896","754","0.6","22","21","910.619","644","766.478","637","0.954545","2019-03-20 16:52:07"
"999","FA18UCpost","3625","16823","NA","dccs","0ce3qegkeghtecste4aklkomj7","pub_Ro3KcfmZRW","5","2018-11-27 11:33:59","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2019-03-20 16:52:04"
"998","FA18UCpost","3625","16824","NA","dccs","5fcgi6gee8mou5mgkv2rbl6hv4","pub_QOcaAkSF7-","7.45381","2018-11-27 11:18:26","38","35","5","1","2.84855","6","4","836.25","808","106.325","808","0.666667","22","21","1142.19","875","774.078","874","0.954545","2019-03-20 16:52:01"
"997","FA18UCpost","3625","16825","NA","dccs","vuc3kaum3jvlvj8dkvtgbo15s1","pub_IYffnQ5cYb","7.35485","2018-11-27 11:19:27","39","34","4","1","2.99587","6","6","1823.83","755","2514.66","755","1","23","18","1106.61","939.5","680.183","939","0.782609","2019-03-20 16:51:57"
"996","FA18UCpost","3625","16826","NA","dccs","tena2suikc1acop3kkokars850","pub_3DTFDWZhO6","8.33781","2018-11-27 11:19:12","39","39","5","1","3.33781","6","6","976","645","758.781","645","1","23","23","830.609","701","319.008","699","1","2019-03-20 16:51:54"
"995","FA18UCpost","3625","16827","NA","dccs","va2b9ckelol9a3lgafl198t0n3","pub_0ec~Se7zka","5.61061","2018-11-27 11:26:18","39","32","4","1","1.50805","6","3","1464.67","1498","620.672","1498","0.5","23","19","1410.79","1179","862.61","1077","0.826087","2019-03-20 16:51:51"
"994","FA18UCpost","3625","16829","NA","dccs","e6taabqtlp3nv2kcgr9s1acrr3","pub_jLj9phBcNa","7.67399","2018-11-27 11:21:35","39","36","5","1","3.05861","6","4","781","733.5","199.675","733.5","0.666667","23","22","787.182","774.5","314.91","774.5","0.956522","2019-03-20 16:51:47"
"993","FA18UCpost","3625","16830","NA","dccs","m061vjuc3212ucjqontapk5724","pub_K-1xR@FZOZ","7.86092","2018-11-27 11:17:02","39","36","5","1","3.24553","6","5","642","673","129.418","673","0.833333","23","21","620.19","553","304.872","551.5","0.913043","2019-03-20 16:51:44"
"992","FA18UCpost","3625","16831","NA","dccs","bftn996a2ijheld6v1vh3uolc6","pub_ctseMG422e","9.22013","2018-11-27 11:20:32","39","38","5","1","4.34833","6","6","457.167","405","92.3286","405","1","23","22","668.091","547","312.628","547","0.956522","2019-03-20 16:51:41"
"991","FA18UCpost","3625","16832","NA","dccs","s86jvua15p113lc12uf8nimoc0","pub_finceR_mXT","8.32187","2018-11-27 11:18:42","39","38","5","1","3.45008","6","6","587.5","612.5","97.9342","612.5","1","23","22","519.864","492.5","124.566","492.5","0.956522","2019-03-20 16:51:38"
"990","FA18UCpost","3625","16833","NA","dccs","vrpmnupjlkctsj4fmv0v4ud8q7","pub_0~lbYDFoHV","7.65974","2018-11-27 11:18:47","39","35","4","1","3.17256","6","4","808.75","696","346.608","696","0.666667","23","21","1477.05","937","1472.6","903","0.913043","2019-03-20 16:51:35"
"989","FA18UCpost","3625","16834","NA","dccs","5oda4mfllbl5eiq45u65tt90c6","pub_iVz~sn7LQO","6.84944","2018-11-27 11:20:14","39","37","5","1","2.10585","6","6","1967.67","1137.5","1517.63","1137.5","1","23","21","1788.57","997","2347.63","997","0.913043","2019-03-20 16:51:33"
"988","FA18UCpost","3625","16835","NA","dccs","d6355m4eik9h2d0v0m1rl1cqt7","pub_gQGDwHbGYO","5.59645","2018-11-27 11:24:24","39","33","4","1","1.36569","6","4","1652.5","1599.5","333.127","1599.5","0.666667","23","19","1843.11","1372","1250.28","1372","0.826087","2019-03-20 16:51:27"
"987","FA18UCpost","3625","16836","NA","dccs","4bs9a8j0sahlqoehpva2jo2k22","pub_FO~vlAozgz","8.61961","2018-11-27 11:32:43","39","39","5","1","3.61961","6","6","562.5","566.5","170.858","566.5","1","23","23","479.391","441","136.904","437.5","1","2019-03-20 16:51:24"
"986","FA18UCpost","3625","16838","NA","dccs","ivcknranb3cd2pl5rv2jpblpf1","pub_pHLUr7KxYX","7.75294","2018-11-27 11:18:26","38","36","5","1","3.0161","6","5","1305.2","748","1283.3","748","0.833333","22","21","873","723","454.03","712.5","0.954545","2019-03-20 16:51:19"
"985","FA18UCpost","3625","16839","NA","dccs","35i3d832g8qr18vklrosvhjd35","pub_v2DCiLRU~y","6.37784","2018-12-04 11:20:17","39","35","4","1","1.89066","6","4","1340.5","1256","599.838","1256","0.666667","23","21","1798.38","1399","1538.73","1293.5","0.913043","2019-03-20 16:51:17"
