"userID","pre_nihScore","post_nihScore","pre_nihAccuracy","post_nihAccuracy","pre_nihRTScore","post_nihRTScore","dateTime.x","dateTime.y","DiffScore","DiffAccuracy","DiffRT","ImproverScore","ImproverAccuracy","ImproverRT","AllImprove","ImprovedPostScoreGT7"
16866,6.63127,6.84399,4,5,2.38127,1.96899,"2018-10-16 12:50:39","2018-11-27 12:46:56",0.21272,1,-0.41228,1,1,0,0,0
16867,7.4681,8.05131,5,5,2.72451,3.30772,"2018-10-16 12:49:32","2018-11-27 12:42:51",0.583210000000001,0,0.58321,1,0,1,0,1
16868,6.79757,7.41668,5,5,2.05398,2.67309,"2018-10-23 12:47:49","2018-11-27 12:45:35",0.61911,0,0.61911,1,0,1,0,1
16870,6.6815,6.054,5,4,1.6815,1.56682,"2018-10-16 13:40:09","2018-11-27 13:38:14",-0.6275,-1,-0.11468,0,0,0,0,0
16871,8.81396,7.58677,5,5,3.81396,2.84318,"2018-10-16 13:41:05","2018-11-27 13:33:37",-1.22719,0,-0.97078,0,0,0,0,1
16872,7.35542,7.24673,5,5,2.35542,2.63135,"2018-10-16 13:42:35","2018-11-27 13:33:26",-0.108689999999999,0,0.27593,0,0,1,0,1
16873,7.46301,7.94125,4,5,2.97583,3.19766,"2018-10-16 13:36:03","2018-11-27 13:27:59",0.47824,1,0.22183,1,1,1,1,1
16874,7.35456,7.8368,4,4,3.25199,3.34962,"2018-10-16 13:34:15","2018-11-27 13:27:39",0.48224,0,0.0976299999999997,1,0,1,0,1
16875,7.93726,7.82051,4,5,3.45008,2.82051,"2018-10-16 13:33:40","2018-11-27 13:26:40",-0.116750000000001,1,-0.62957,0,1,0,0,1
16876,3.46154,6.55446,3,4,2.81521,2.19549,"2018-10-16 13:39:21","2018-11-27 13:34:59",3.09292,1,-0.61972,1,1,0,0,0
16877,7.73851,7.51045,5,5,2.73851,2.63866,"2018-10-16 13:35:13","2018-11-27 13:27:50",-0.22806,0,-0.0998500000000004,0,0,0,0,1
16878,7.15761,7.33638,5,5,2.41402,2.59279,"2018-10-16 13:41:07","2018-11-27 13:29:27",0.17877,0,0.17877,1,0,1,0,1
16879,6.57947,5.77957,4,5,2.2205,0.907771,"2018-10-16 13:42:02","2018-11-27 13:32:04",-0.7999,1,-1.312729,0,1,0,0,0
16880,7.78582,8.62152,5,5,2.91403,3.62152,"2018-10-16 13:35:35","2018-11-27 13:29:00",0.8357,0,0.70749,1,0,1,0,1
16881,0,6.8915,4,4,0,2.66073,"2018-10-16 13:35:18","2018-11-27 13:30:56",6.8915,0,2.66073,1,0,1,0,0
16882,6.70973,7.49314,4,4,2.60717,3.00596,"2018-10-16 13:37:58","2018-11-27 13:28:46",0.78341,0,0.39879,1,0,1,0,1
16884,5.71863,7.30554,4,5,1.23145,2.56195,"2018-10-16 13:37:25","2018-11-27 13:30:07",1.58691,1,1.3305,1,1,1,1,1
16885,2.05128,3.20513,2,3,3.14466,3.73371,"2018-10-16 13:34:27","2018-11-27 13:37:15",1.15385,1,0.58905,1,1,1,1,0
16886,7.43947,6.84279,5,4,2.43947,2.59279,"2018-10-16 13:36:44","2018-11-27 13:28:12",-0.59668,-1,0.15332,0,0,1,0,0
16887,6.12265,6.82202,4,4,1.74765,2.47991,"2018-10-16 13:38:14","2018-11-27 13:30:38",0.69937,0,0.73226,1,0,1,0,0
16888,5.59106,7.33609,4,5,1.23208,2.7207,"2018-10-23 13:32:50","2018-11-27 13:26:43",1.74503,1,1.48862,1,1,1,1,1
16889,7.4399,7.29614,4,5,3.08092,2.55255,"2018-10-23 13:32:54","2018-11-27 13:28:49",-0.143759999999999,1,-0.52837,0,1,0,0,1
16890,8.44408,6.77689,4,4,3.9569,2.67433,"2018-10-23 13:33:42","2018-11-27 13:29:34",-1.66719,0,-1.28257,0,0,0,0,0
16896,7.66356,6.62508,4,4,3.56099,2.39431,"2018-10-23 14:20:08","2018-11-27 14:13:13",-1.03848,0,-1.16668,0,0,0,0,0
16897,6.34506,7.40645,4,4,1.98608,3.17568,"2018-10-16 14:17:24","2018-12-04 14:12:11",1.06139,0,1.1896,1,0,1,0,1
16899,7.6052,7.36029,5,5,2.73341,2.74491,"2018-10-16 14:18:59","2018-11-27 14:13:20",-0.24491,0,0.0114999999999998,0,0,1,0,1
16901,7.01055,5.70787,4,4,2.77978,1.4771,"2018-10-23 14:18:23","2018-11-27 14:13:35",-1.30268,0,-1.30268,0,0,0,0,0
16903,7.90831,7.97678,5,5,3.03652,3.10498,"2018-10-23 14:19:55","2018-11-27 14:12:08",0.0684699999999996,0,0.06846,1,0,1,0,1
16904,4.92459,4.9806,4,4,0.693822,0.749834,"2018-10-23 14:19:18","2018-11-27 14:15:00",0.0560099999999997,0,0.056012,1,0,1,0,0
16906,7.60022,8.86937,5,5,2.85663,3.99757,"2018-10-23 14:20:35","2018-11-27 14:12:17",1.26915,0,1.14094,1,0,1,0,1
16907,8.46663,8.04605,5,5,3.59483,3.43066,"2018-10-23 14:23:04","2018-11-27 14:16:16",-0.420580000000001,0,-0.16417,0,0,0,0,1
16908,8.37174,7.88644,5,5,3.37174,3.01465,"2018-10-30 14:14:54","2018-11-27 14:12:06",-0.485300000000001,0,-0.35709,0,0,0,0,1
16920,5,4.74145,5,4,0,0.25427,"2018-10-09 09:09:23","2018-12-04 08:58:04",-0.25855,-1,0.25427,0,0,1,0,0
16921,7.2896,3.97436,5,4,2.71817,2.55372,"2018-10-09 09:10:28","2018-12-04 08:54:46",-3.31524,-1,-0.16445,0,0,0,0,0
16922,7.46697,7.81654,5,5,2.59518,2.81654,"2018-10-16 09:06:16","2018-12-04 08:55:12",0.34957,0,0.22136,1,0,1,0,1
16923,6.99111,7.60022,4,5,2.86068,2.85663,"2018-10-09 09:08:44","2018-12-04 08:54:10",0.60911,1,-0.00404999999999989,1,1,0,0,1
16924,5,7.60562,5,5,0,2.86203,"2018-10-09 09:10:35","2018-12-11 08:55:27",2.60562,0,2.86203,1,0,1,0,1
16925,5,7.14445,5,5,0,2.40086,"2018-10-09 09:10:08","2018-12-04 08:54:38",2.14445,0,2.40086,1,0,1,0,0
16926,5,7.21897,5,5,0,2.47538,"2018-10-09 09:09:47","2018-12-04 08:54:33",2.21897,0,2.47538,1,0,1,0,1
16927,6.44926,3.97436,5,4,1.82426,2.26832,"2018-10-16 08:50:18","2018-12-04 08:56:15",-2.4749,-1,0.44406,0,0,1,0,0
16928,5,6.07645,5,4,0,1.58927,"2018-10-09 09:09:38","2018-12-04 08:55:27",1.07645,-1,1.58927,1,0,1,0,0
16929,5,7.26471,5,5,0,2.52112,"2018-10-09 09:08:58","2018-12-11 09:00:08",2.26471,0,2.52112,1,0,1,0,1
16930,7.26873,7.64932,5,5,2.65334,2.90573,"2018-10-16 09:04:31","2018-12-04 08:56:24",0.380590000000001,0,0.25239,1,0,1,0,1
16931,6.62172,7.16422,5,5,1.87172,2.42063,"2018-10-09 09:09:14","2018-12-04 08:54:48",0.5425,0,0.54891,1,0,1,0,0
16932,8.62173,7.67226,4,4,4.19316,3.18508,"2018-10-09 09:09:56","2018-12-11 08:55:55",-0.94947,0,-1.00808,0,0,0,0,1
16933,2.59259,7.24107,3,4,3.80559,2.75389,"2018-10-09 09:10:16","2018-12-04 08:54:29",4.64848,1,-1.0517,1,1,0,0,1
16934,3.27586,7.97981,3,5,2.86609,3.10801,"2018-10-09 09:10:07","2018-12-04 08:55:13",4.70395,2,0.24192,1,1,1,1,1
16935,3.875,7.45399,4,5,1.90976,2.45399,"2018-10-23 08:55:51","2018-12-04 08:56:51",3.57899,1,0.54423,1,1,1,1,1
16936,7.95597,8.87561,5,5,2.95597,3.87561,"2018-10-16 09:05:12","2018-12-04 08:55:45",0.91964,0,0.91964,1,0,1,0,1
16937,6.34867,6.9056,4,4,1.9897,2.41843,"2018-10-16 09:07:58","2018-12-04 08:55:28",0.556929999999999,0,0.42873,1,0,1,0,0
16938,7.98816,6.94637,5,5,3.22626,2.07458,"2018-10-23 09:11:30","2018-12-04 08:57:30",-1.04179,0,-1.15168,0,0,0,0,0
16940,7.56971,6.91937,5,5,2.94471,1.91937,"2018-10-23 09:08:21","2018-12-04 08:56:39",-0.65034,0,-1.02534,0,0,0,0,0
16941,7.5841,8.42936,5,5,2.96872,3.68577,"2018-10-23 09:09:06","2018-12-04 08:58:07",0.845260000000001,0,0.71705,1,0,1,0,1
16945,2.30769,2.4359,2,2,1.48283,1.01539,"2018-10-16 09:44:54","2018-12-11 09:37:16",0.12821,0,-0.46744,1,0,0,0,0
16946,3.46154,6.28625,3,4,2.28795,1.92727,"2018-10-16 09:47:29","2018-12-04 09:33:50",2.82471,1,-0.36068,1,1,0,0,0
16947,3.84615,7.70068,4,4,3.29283,3.2135,"2018-10-16 09:33:12","2018-12-04 09:30:08",3.85453,0,-0.0793300000000001,1,0,0,0,1
16948,7.39256,8.23427,5,5,2.77717,3.23427,"2018-10-16 09:32:44","2018-12-04 09:31:28",0.841710000000001,0,0.4571,1,0,1,0,1
16949,3.71795,7.24115,4,5,4.3537,2.36615,"2018-10-23 09:38:53","2018-12-11 09:32:03",3.5232,1,-1.98755,1,1,0,0,1
16950,6.71632,8.09326,5,5,1.71632,3.22147,"2018-10-16 09:34:33","2018-12-04 09:34:21",1.37694,0,1.50515,1,0,1,0,1
16951,6.43543,6.40866,4,5,2.07646,1.66507,"2018-10-16 09:38:20","2018-12-04 09:32:07",-0.02677,1,-0.41139,0,1,0,0,0
16952,3.58974,3.58974,4,4,5,2.82184,"2018-10-23 09:35:59","2018-12-04 09:33:50",0,0,-2.17816,0,0,0,0,0
16953,7.92301,6.35556,5,5,3.05122,1.61197,"2018-10-16 09:40:23","2018-12-04 09:32:26",-1.56745,0,-1.43925,0,0,0,0,0
16954,7.48338,6.88332,5,5,2.73979,2.01152,"2018-10-16 09:39:11","2018-12-04 09:33:12",-0.60006,0,-0.72827,0,0,0,0,0
