"","userID","pre_nihScore","post_nihScore","pre_nihAccuracy","post_nihAccuracy","pre_nihRTScore","post_nihRTScore","DiffScore","DiffAccuracy","DiffRT"
"115",17144,6.44322,6.34523,5,4,1.69963,2.11446,-0.0979900000000002,-1,0.41483
"116",17145,6.82426,3.84615,5,4,1.82426,2.9016,-2.97811,-1,1.07734
"117",17146,2.17949,2.125,2,2,3.4483,0.149816,-0.0544899999999999,0,-3.298484
"118",17147,7.20484,7.6519,5,5,2.33305,3.03652,0.44706,0,0.70347
"119",17149,3.84615,6.13827,4,4,0.346104,1.65109,2.29212,0,1.304986
"120",17150,7.67483,7.24881,4,4,3.54983,2.76163,-0.42602,0,-0.7882
"121",17150,5,7.24881,5,4,0,2.76163,2.24881,-1,2.76163
"122",17151,8.5201,8.46723,5,5,3.8951,3.72364,-0.0528699999999986,0,-0.17146
"123",17156,2.5641,2.69231,3,3,3.63306,1.65342,0.12821,0,-1.97964
"124",17157,7.11544,7.37154,4,5,2.75647,2.37154,0.2561,1,-0.38493
"125",17157,0,7.37154,4,5,0,2.37154,7.37154,1,2.37154
"126",17158,7.8306,7.18674,5,4,2.9588,2.95597,-0.643859999999999,-1,-0.00282999999999989
"127",17159,6.83775,7.37701,4,5,2.47878,2.76163,0.539260000000001,1,0.28285
"128",17160,2.17949,3.58974,2,4,0.462495,2.24886,1.41025,2,1.786365
"129",17161,2.17949,2.17949,2,2,2.68178,3.06899,0,0,0.38721
"130",17162,5,3.71795,5,4,0,1.93255,-1.28205,-1,1.93255
"131",17162,3.46154,3.71795,3,4,1.68857,1.93255,0.25641,1,0.24398
"132",17163,3.71795,6.84619,4,4,0,2.74363,3.12824,0,2.74363
"133",17164,7.78629,7.30839,5,5,2.78629,2.69301,-0.4779,0,-0.09328
"134",17166,3.97436,5.96074,4,4,2.57376,1.71074,1.98638,0,-0.86302
"135",17167,8.17777,6.81723,5,5,3.43418,2.07364,-1.36054,0,-1.36054
"136",17168,3.46154,7.505,3,5,2.51997,2.505,4.04346,2,-0.0149699999999999
"137",17169,2.69231,6.12044,3,5,1.18411,1.37044,3.42813,2,0.18633
"138",17170,7.31498,7.39828,5,5,2.57139,2.77328,0.0832999999999995,0,0.20189
"139",17172,5,7.6507,5,5,0,2.90711,2.6507,0,2.90711
"140",17172,7.2774,7.6507,4,5,2.79022,2.90711,0.3733,1,0.11689
"141",17173,9.23077,6.85114,4,5,5,2.35114,-2.37963,1,-2.64886
"142",17174,3.52941,3.97436,4,4,3.39927,2.78238,0.44495,0,-0.61689
"143",17174,3.71795,3.97436,4,4,2.49128,2.78238,0.25641,0,0.2911
"144",17344,7.73979,7.57613,5,5,2.73979,2.57613,-0.16366,0,-0.16366
"145",17343,6.97864,8.0779,4,5,2.67309,3.46252,1.09926,1,0.78943
"146",17343,8.0853,8.0779,5,5,3.2135,3.46252,-0.00740000000000052,0,0.24902
"147",17345,7.79872,8.27968,5,5,3.06899,3.27968,0.48096,0,0.21069
"148",17345,8.0506,8.27968,5,5,3.17881,3.27968,0.229080000000002,0,0.10087
"149",17346,7.50988,7.42911,5,5,2.90988,2.68552,-0.0807700000000002,0,-0.22436
"150",17346,7.96987,7.42911,5,5,3.21987,2.68552,-0.540760000000001,0,-0.53435
"151",17347,2.82051,6.51353,3,4,3.55354,2.28276,3.69302,1,-1.27078
"152",17347,8.22324,6.51353,5,4,3.47324,2.28276,-1.70971,-1,-1.19048
"153",16770,8.30115,3.81579,5,4,3.68577,3.26498,-4.48536,-1,-0.42079
"154",16771,7.0958,6.66845,5,4,2.35221,2.61439,-0.42735,-1,0.26218
"155",16772,8.29719,3.15789,5,3,3.4254,4.59807,-5.1393,-2,1.17267
"156",16773,7.88364,3.46154,5,3,3.14005,2.48673,-4.4221,-2,-0.65332
"157",16774,6.99032,7.41073,4,5,2.63135,2.66073,0.42041,1,0.0293800000000002
"158",16775,7.52575,6.84395,5,5,2.52575,2.22856,-0.6818,0,-0.29719
"159",16776,9.13407,3.20513,5,3,4.13407,3.12931,-5.92894,-2,-1.00476
"160",16776,9.13407,8.70141,5,5,4.13407,4.08603,-0.43266,0,-0.0480400000000003
"161",16777,7.26471,7.73372,4,5,2.90573,2.99013,0.46901,1,0.0844
"162",16778,3.71795,7.59347,4,5,2.23666,2.85663,3.87552,1,0.61997
"163",16779,7.60837,7.33842,5,4,2.60837,2.86473,-0.26995,-1,0.25636
"164",16780,6.71937,7.83783,4,5,2.61681,2.83783,1.11846,1,0.22102
"165",16781,2.4359,3.78378,2,4,1.95737,2.80071,1.34788,2,0.84334
"166",16782,2.5641,3.84615,3,4,2.44727,2.63988,1.28205,1,0.19261
"167",16783,7.66071,6.79107,5,5,3.04532,2.17568,-0.86964,0,-0.86964
"168",16784,7.18678,6.71863,5,4,2.57139,2.48786,-0.46815,-1,-0.0835300000000001
"169",16785,8.07895,7.65762,5,5,3.20715,2.91403,-0.421330000000001,0,-0.29312
"170",16786,8.17601,7.99443,5,5,3.43242,2.99443,-0.181579999999999,0,-0.43799
"171",16787,7.33103,7.81659,5,4,2.71564,3.32941,0.48556,-1,0.61377
"172",16789,7.58039,6.55237,4,4,3.34962,2.06519,-1.02802,0,-1.28443
"173",16790,8.32773,7.33735,5,5,3.32773,2.72197,-0.990380000000001,0,-0.60576
"174",16791,7.46936,5.92013,5,4,2.59757,1.68936,-1.54923,-1,-0.90821
"175",16792,7.03822,5,5,5,2.42284,0,-2.03822,0,-2.42284
"176",16792,7.03822,7.65719,5,4,2.42284,3.18351,0.61897,-1,0.76067
"177",16795,7.80809,8.17809,5,5,2.9363,3.58349,0.369999999999999,0,0.64719
"178",16796,7.5447,3.33333,5,3,2.92931,1.79098,-4.21137,-2,-1.13833
"179",16797,4.69909,6.67879,4,5,0.468325,1.9352,1.9797,1,1.466875
"180",16799,6.96928,6.78459,4,4,2.73851,2.3109,-0.184690000000001,0,-0.42761
"181",16800,9.45189,3.58974,5,4,4.5801,2.27656,-5.86215,-1,-2.30354
"182",16801,7.52809,8.39609,4,5,3.04092,3.52767,0.867999999999999,1,0.48675
"183",16802,7.55484,3.71795,5,4,2.81125,2.47199,-3.83689,-1,-0.33926
"184",16803,7.53774,7.66298,5,5,2.92235,3.03798,0.12524,0,0.11563
"185",16804,7.19321,7.35538,5,5,2.32142,2.6411,0.162170000000001,0,0.31968
"186",16805,7.70033,7.65483,5,5,2.95033,3.03945,-0.0455000000000005,0,0.0891199999999999
"187",16807,7.60838,8.01672,5,5,2.993,3.27313,0.408339999999999,0,0.28013
"188",16808,6.52495,2.82051,4,3,2.29418,1.91325,-3.70444,-1,-0.38093
"189",16809,7.72959,6.55641,5,4,2.72959,2.32564,-1.17318,-1,-0.40395
"190",16810,7.38964,7.80064,4,4,3.03066,3.34118,0.411,0,0.31052
"191",16811,5.87744,7.46973,4,5,1.39026,2.46973,1.59229,1,1.07947
"192",16812,7.52388,7.7407,5,5,2.90849,3.13544,0.21682,0,0.22695
"193",16813,8.03807,5,5,5,3.29448,0,-3.03807,0,-3.29448
"194",16813,8.03807,3.75,5,4,3.29448,3.73978,-4.28807,-1,0.4453
"195",16814,8.83365,8.85917,5,5,4.21826,4.2539,0.0255200000000002,0,0.0356399999999999
"196",16815,7.86092,3.75,5,4,3.24553,0.215158,-4.11092,-1,-3.030372
"197",16816,7.96772,5,5,5,3.09593,0,-2.96772,0,-3.09593
"198",16816,7.96772,7.00484,5,4,3.09593,2.51766,-0.96288,-1,-0.57827
"199",16816,7.96772,9.08128,5,5,3.09593,4.08128,1.11356,0,0.98535
"200",16817,3.07692,7.49748,3,5,2.16683,2.75389,4.42056,2,0.58706
"201",16818,7.04375,7.63744,5,5,2.42837,2.63744,0.59369,0,0.20907
"202",16820,8.20624,8.9121,5,5,3.33444,4.04368,0.705860000000001,0,0.70924
"203",16821,8.01514,0,4,4,3.91258,0,-8.01514,0,-3.91258
"204",16822,3.97436,7.59334,4,5,4.90096,2.99875,3.61898,1,-1.90221
"205",16823,8.85843,5,5,5,3.85843,0,-3.85843,0,-3.85843
"206",16824,7.13292,7.45381,5,5,2.26113,2.84855,0.320889999999999,0,0.58742
"207",16825,2.05128,7.35485,2,4,2.83382,2.99587,5.30357,2,0.16205
"208",16826,8.36495,8.33781,4,5,3.87777,3.33781,-0.0271400000000011,1,-0.53996
"209",16827,3.75,5.61061,4,4,0.606912,1.50805,1.86061,0,0.901138
"210",16829,8.52239,7.67399,4,5,4.16341,3.05861,-0.8484,1,-1.1048
"211",16830,8.11533,7.86092,5,5,3.37174,3.24553,-0.25441,0,-0.12621
"212",16831,7.89662,9.22013,5,5,3.02482,4.34833,1.32351,0,1.32351
"213",16832,8.03812,8.32187,5,5,3.16633,3.45008,0.283750000000001,0,0.28375
"214",16833,8.21211,7.65974,5,4,3.59673,3.17256,-0.552369999999999,-1,-0.42417
"215",16834,7.75284,6.84944,5,5,2.88104,2.10585,-0.9034,0,-0.77519
"216",16835,6.51992,5.59645,5,4,1.90453,1.36569,-0.92347,-1,-0.53884
"217",16836,7.33877,8.61961,5,5,2.59518,3.61961,1.28084,0,1.02443
"218",16838,6.43138,7.75294,4,5,2.32881,3.0161,1.32156,1,0.68729
"219",16839,6.26106,6.37784,5,4,1.64568,1.89066,0.11678,-1,0.24498
"220",16840,8.20968,8.02819,5,5,3.46609,3.2846,-0.18149,0,-0.18149
"221",16841,8.38926,5.25734,4,4,4.15849,1.04682,-3.13192,0,-3.11167
"222",16842,2.4359,3.94737,2,4,2.71944,3.36832,1.51147,2,0.64888
"223",16843,8.9144,8.26498,5,5,4.17081,3.26498,-0.649420000000001,0,-0.90583
"224",16844,8.11749,8.15968,5,5,3.5021,3.28789,0.0421899999999997,0,-0.21421
"225",16845,7.56521,7.0024,4,5,3.33444,2.0024,-0.562810000000001,1,-1.33204
"226",16846,7.07982,7.53746,5,5,2.33623,2.66566,0.45764,0,0.32943
"227",16847,0,3.58974,4,4,0,0,3.58974,0,0
"228",16848,7.33027,8.03812,5,5,2.45847,3.16633,0.70785,0,0.70786
