"id.x","userID","accessCode.x","task.x","pre_nihScore","pre_nihAccuracy","pre_nihRTScore","dateTime.x","id.y","accessCode.y","task.y","post_nihScore","post_nihAccuracy","post_nihRTScore","dateTime.y"
203,16877,"PUF18","dccs",7.73851,5,2.73851,"2018-10-16 13:35:13",948,"FA18UCpost","dccs",7.51045,5,2.63866,"2018-11-27 13:27:50"
202,16878,"PUF18","dccs",7.15761,5,2.41402,"2018-10-16 13:41:07",947,"FA18UCpost","dccs",7.33638,5,2.59279,"2018-11-27 13:29:27"
201,16879,"PUF18","dccs",6.57947,4,2.2205,"2018-10-16 13:42:02",946,"FA18UCpost","dccs",5.77957,5,0.907771,"2018-11-27 13:32:04"
200,16880,"PUF18","dccs",7.78582,5,2.91403,"2018-10-16 13:35:35",945,"FA18UCpost","dccs",8.62152,5,3.62152,"2018-11-27 13:29:00"
199,16881,"PUF18","dccs",0,4,0,"2018-10-16 13:35:18",944,"FA18UCpost","dccs",6.8915,4,2.66073,"2018-11-27 13:30:56"
198,16882,"PUF18","dccs",6.70973,4,2.60717,"2018-10-16 13:37:58",942,"FA18UCpost","dccs",7.49314,4,3.00596,"2018-11-27 13:28:46"
196,16884,"PUF18","dccs",5.71863,4,1.23145,"2018-10-16 13:37:25",941,"FA18UCpost","dccs",7.30554,5,2.56195,"2018-11-27 13:30:07"
195,16885,"PUF18","dccs",2.05128,2,3.14466,"2018-10-16 13:34:27",940,"FA18UCpost","dccs",3.20513,3,3.73371,"2018-11-27 13:37:15"
194,16886,"PUF18","dccs",7.43947,5,2.43947,"2018-10-16 13:36:44",939,"FA18UCpost","dccs",6.84279,4,2.59279,"2018-11-27 13:28:12"
193,16887,"PUF18","dccs",6.12265,4,1.74765,"2018-10-16 13:38:14",938,"FA18UCpost","dccs",6.82202,4,2.47991,"2018-11-27 13:30:38"
192,16888,"PUF18","dccs",5.59106,4,1.23208,"2018-10-23 13:32:50",937,"FA18UCpost","dccs",7.33609,5,2.7207,"2018-11-27 13:26:43"
191,16889,"PUF18","dccs",7.4399,4,3.08092,"2018-10-23 13:32:54",936,"FA18UCpost","dccs",7.29614,5,2.55255,"2018-11-27 13:28:49"
190,16890,"PUF18","dccs",8.44408,4,3.9569,"2018-10-23 13:33:42",935,"FA18UCpost","dccs",6.77689,4,2.67433,"2018-11-27 13:29:34"
188,16896,"PUF18","dccs",7.66356,4,3.56099,"2018-10-23 14:20:08",934,"FA18UCpost","dccs",6.62508,4,2.39431,"2018-11-27 14:13:13"
187,16897,"PUF18","dccs",6.34506,4,1.98608,"2018-10-16 14:17:24",933,"FA18UCpost","dccs",7.40645,4,3.17568,"2018-12-04 14:12:11"
185,16899,"PUF18","dccs",7.6052,5,2.73341,"2018-10-16 14:18:59",932,"FA18UCpost","dccs",7.36029,5,2.74491,"2018-11-27 14:13:20"
183,16901,"PUF18","dccs",7.01055,4,2.77978,"2018-10-23 14:18:23",931,"FA18UCpost","dccs",5.70787,4,1.4771,"2018-11-27 14:13:35"
181,16903,"PUF18","dccs",7.90831,5,3.03652,"2018-10-23 14:19:55",930,"FA18UCpost","dccs",7.97678,5,3.10498,"2018-11-27 14:12:08"
180,16904,"PUF18","dccs",4.92459,4,0.693822,"2018-10-23 14:19:18",929,"FA18UCpost","dccs",4.9806,4,0.749834,"2018-11-27 14:15:00"
178,16906,"PUF18","dccs",7.60022,5,2.85663,"2018-10-23 14:20:35",928,"FA18UCpost","dccs",8.86937,5,3.99757,"2018-11-27 14:12:17"
177,16907,"PUF18","dccs",8.46663,5,3.59483,"2018-10-23 14:23:04",927,"FA18UCpost","dccs",8.04605,5,3.43066,"2018-11-27 14:16:16"
176,16908,"PUF18","dccs",8.37174,5,3.37174,"2018-10-30 14:14:54",926,"FA18UCpost","dccs",7.88644,5,3.01465,"2018-11-27 14:12:06"
537,16920,"PUF18a","dccs",5,5,0,"2018-10-09 09:09:23",907,"FA18UCpost","dccs",4.74145,4,0.25427,"2018-12-04 08:58:04"
540,16921,"PUF18a","dccs",7.2896,5,2.71817,"2018-10-09 09:10:28",906,"FA18UCpost","dccs",3.97436,4,2.55372,"2018-12-04 08:54:46"
454,16922,"PUF18","dccs",7.46697,5,2.59518,"2018-10-16 09:06:16",905,"FA18UCpost","dccs",7.81654,5,2.81654,"2018-12-04 08:55:12"
545,16923,"PUF18a","dccs",6.99111,4,2.86068,"2018-10-09 09:08:44",904,"FA18UCpost","dccs",7.60022,5,2.85663,"2018-12-04 08:54:10"
529,16924,"PUF18a","dccs",5,5,0,"2018-10-09 09:10:35",903,"FA18UCpost","dccs",7.60562,5,2.86203,"2018-12-11 08:55:27"
531,16925,"PUF18a","dccs",5,5,0,"2018-10-09 09:10:08",902,"FA18UCpost","dccs",7.14445,5,2.40086,"2018-12-04 08:54:38"
534,16926,"PUF18a","dccs",5,5,0,"2018-10-09 09:09:47",901,"FA18UCpost","dccs",7.21897,5,2.47538,"2018-12-04 08:54:33"
