"","accessCode","userID","fastestRT_user","highestLevel_user","highestLevelTrialCount_user","trialCount_user","nLevels_user","timePlayed_difficulty","HITS_user","Hit_AvgRT_user","Hit_SDRT_user","MISSED_user","Miss_AvgRT_user","Miss_SDRT_user","WRONG_user","Wrong_AvgRT_user","Wrong_SDRT_user","first_count","first_count_correct","RuleChange_Accuracy_Pct","2","HITS_comp_1","HITS_comp_2","HITS_comp_3","HITS_comp_4","HITS_comp_5","HITS_comp_6","HITS_comp_7","HITS_comp_8","Hit_AvgRT_comp_1","Hit_AvgRT_comp_2","Hit_AvgRT_comp_3","Hit_AvgRT_comp_4","Hit_AvgRT_comp_5","Hit_AvgRT_comp_6","Hit_AvgRT_comp_7","Hit_AvgRT_comp_8","Hit_SDRT_comp_1","Hit_SDRT_comp_2","Hit_SDRT_comp_3","Hit_SDRT_comp_4","Hit_SDRT_comp_5","Hit_SDRT_comp_6","Hit_SDRT_comp_7","Hit_SDRT_comp_8","complexityTrialCount_1","complexityTrialCount_2","complexityTrialCount_3","complexityTrialCount_4","complexityTrialCount_5","complexityTrialCount_6","complexityTrialCount_7","complexityTrialCount_8","Complexity_Hits_1","Complexity_Hits_2","Complexity_Hits_3","Complexity_Hits_4","Complexity_Hits_5","Complexity_Hits_6","Complexity_Hits_7","Complexity_Hits_8","Accuracy_Pct_comp_1","Accuracy_Pct_comp_2","Accuracy_Pct_comp_3","Accuracy_Pct_comp_4","Accuracy_Pct_comp_5","Accuracy_Pct_comp_6","Accuracy_Pct_comp_7","Accuracy_Pct_comp_8","count_afterWrong_HIT","count_afterWrong_MISSED","count_afterWrong_WRONG","count_afterWrong_NA","avgRT_afterWrong_HIT","avgRT_afterWrong_MISSED","avgRT_afterWrong_WRONG","avgRT_afterWrong_NA","n_afterWrong","accuracy_afterWrong","highestLevelPct_user","percentCorrect_user","HitRate_user","FARate_user","DPrime_user"
"21","ATHF18","16773",0,"SpaceCakesLevel 2-1-0",40,1382,24,"3014",1027,1.176674235852,0.75307024056872,118,0.610524012711864,1.12473367420639,237,1.24040453797468,1.01581266504139,11,11,1,2,246,358,260,163,NA,NA,NA,NA,0.982411892317073,1.2100963452514,1.01708938307692,1.65100235282209,NA,NA,NA,NA,0.538039247021993,0.681840387346656,0.468536249206988,1.20474621140402,NA,NA,NA,NA,299,405,318,360,NA,NA,NA,NA,246,358,260,163,NA,NA,NA,NA,0.822742474916388,0.883950617283951,0.817610062893082,0.452777777777778,NA,NA,NA,NA,150,7,80,NA,1.3754262688,1.50630842857143,1.0897644975,NA,237,0.632911392405063,3,74,0.74,0.17,1.59751065853911
"22","ATHF18","16776",0,"SpaceCakesLevel 4-3-0",40,3311,30,"7733",3115,1.3739143198748,0.756754672397592,6,2.29620433333333,0.946705646716373,190,1.51835657578947,1.11310886144206,24,22,1,2,290,1055,589,621,193,367,NA,NA,1.05232903482759,1.03553508227488,1.15290050933786,1.67044844397746,2.01444754870466,2.11684717683924,NA,NA,0.477302933270449,0.531627667355045,0.528210560468879,0.690523270139975,0.760781017616694,0.953652718031075,NA,NA,300,1080,631,680,200,420,NA,NA,290,1055,589,621,193,367,NA,NA,0.966666666666667,0.976851851851852,0.933438985736926,0.913235294117647,0.965,0.873809523809524,NA,NA,149,NA,40,1,1.78148026040268,NA,1.507065525,NA,189,0.788359788359788,1,94,0.94,0.06,3.10954718919371
"23","ATHF18","16779",0,"SpaceCakesLevel 2-4-1",20,1069,15,"2607",941,1.39897968670563,0.712719454999292,6,0.8565934,0.133783398970694,122,1.39628880319672,1.42409801775325,13,12,1,2,206,265,119,296,55,NA,NA,NA,1.22911751597087,1.29687638150943,1.10577250084034,1.73533573310811,1.35132965818182,NA,NA,NA,0.698015938610089,0.541704653418347,0.579544271283943,0.73511676492547,0.948103431246956,NA,NA,NA,230,269,130,320,120,NA,NA,NA,206,265,119,296,55,NA,NA,NA,0.895652173913044,0.985130111524164,0.915384615384615,0.925,0.458333333333333,NA,NA,NA,64,1,56,1,1.44415209359375,0.9347749,1.24159241589286,NA,121,0.528925619834711,2,88,0.88,0.11,2.4015149121027
"24","ATHF18","16782",0,"SpaceCakesLevel 2-3-2",60,1430,24,"4134",1036,1.44221582512548,0.86767319179626,89,1.63431694662921,1.56562159489444,305,1.3050669012459,1.00455946920228,12,9,1,2,163,350,180,343,NA,NA,NA,NA,1.03162795276074,1.5720959,1.01497418233333,1.72901259682216,NA,NA,NA,NA,0.330078519972677,1.00814224861523,0.723117565171793,0.79985239833257,NA,NA,NA,NA,180,430,280,540,NA,NA,NA,NA,163,350,180,343,NA,NA,NA,NA,0.905555555555556,0.813953488372093,0.642857142857143,0.635185185185185,NA,NA,NA,NA,190,5,108,2,1.60578308794737,1.845148,1.18387365925926,NA,303,0.627062706270627,4,72,0.72,0.21,1.38926275428946
"25","ATHF18","16785",0.033055,"SpaceCakesLevel 3-3-0",30,2179,26,"5942",1923,1.45873322626105,0.730491249153663,2,2.76137,2.44216297445523,254,1.55769992559055,0.865634212374224,19,17,1,2,225,471,314,578,335,NA,NA,NA,1.43658064711111,1.33366211656051,1.02740202388535,1.67223162577855,1.68538619820896,NA,NA,NA,0.94886121785973,0.679752556299462,0.390693725775922,0.665040160313716,0.762801714409749,NA,NA,NA,240,510,340,699,390,NA,NA,NA,225,471,314,578,335,NA,NA,NA,0.9375,0.923529411764706,0.923529411764706,0.82689556509299,0.858974358974359,NA,NA,NA,207,NA,47,NA,1.7701796236715,NA,1.77443889787234,NA,254,0.81496062992126,1,88,0.88,0.12,2.34997358413218
"26","ATHF18","16791",0,"SpaceCakesLevel 2-4-0",38,2324,36,"5439",1620,1.23501092094444,0.95096720313177,174,0.888576081609195,1.33369739468137,530,1.1510639890566,1.18107970592249,13,6,0,2,419,416,141,614,30,NA,NA,NA,1.13396656849642,1.11359823461538,0.740422029078014,1.49841600656352,1.26339666666667,NA,NA,NA,0.99693052156166,0.612671669312414,0.409678744755535,1.1245023817437,0.482232529192009,NA,NA,NA,592,495,200,999,38,NA,NA,NA,419,416,141,614,30,NA,NA,NA,0.70777027027027,0.84040404040404,0.705,0.614614614614615,0.789473684210526,NA,NA,NA,323,10,196,1,1.18413562947368,1.16534691,1.0773919877551,NA,529,0.610586011342155,2,70,0.7,0.23,1.26324736189325
"27","ATHF18","16797",0,"SpaceCakesLevel 2-2-0",16,1229,27,"2799",906,1.53322650518764,1.01650675791881,42,1.08156551666667,1.02276655144755,281,1.64084205476868,1.55687619100819,10,7,1,2,250,266,55,335,NA,NA,NA,NA,1.2781880876,1.44600294548872,1.27503935090909,1.83520072835821,NA,NA,NA,NA,0.929936422597086,0.978301626758675,0.771293052603344,1.06880787761437,NA,NA,NA,NA,331,330,90,478,NA,NA,NA,NA,250,266,55,335,NA,NA,NA,NA,0.755287009063444,0.806060606060606,0.611111111111111,0.700836820083682,NA,NA,NA,NA,170,2,108,1,1.62763933941176,0.32552745,1.6028402712963,NA,280,0.607142857142857,1,74,0.74,0.23,1.38219225457813
"28","ATHF18","16800",0,"SpaceCakesLevel 2-2-1",39,1490,22,"4589",1108,1.23757839287004,0.844113502741577,35,0.568562891428571,0.554381510676634,347,1.08087659097983,1.1329638678621,9,4,0,2,224,488,19,377,NA,NA,NA,NA,1.21647298616071,1.25989145963115,0.807994731578947,1.24288588381963,NA,NA,NA,NA,0.802664008173936,0.727358775803208,0.252569061076236,1.0085278977732,NA,NA,NA,NA,250,591,30,619,NA,NA,NA,NA,224,488,19,377,NA,NA,NA,NA,0.896,0.825719120135364,0.633333333333333,0.609046849757674,NA,NA,NA,NA,201,2,143,1,1.18556939099502,0.5089001,0.838041420909091,NA,346,0.580924855491329,3,74,0.74,0.23,1.38219225457813
"29","ATHF18","16803",0,"SpaceCakesLevel 3-0-0",40,2274,23,"6023",2006,1.40369386095713,0.932762829308074,5,0.457957,0.576803416572752,263,1.34366604068441,1.10601284841335,16,14,1,2,240,531,619,468,148,NA,NA,NA,1.33657784541667,1.61157977608286,0.992044055541195,1.59315144893162,1.88927157162162,NA,NA,NA,1.18312071234457,1.13652187076451,0.613509041038848,0.655186086550406,0.871347349480491,NA,NA,NA,267,579,769,499,160,NA,NA,NA,240,531,619,468,148,NA,NA,NA,0.898876404494382,0.917098445595855,0.804941482444733,0.937875751503006,0.925,NA,NA,NA,163,NA,99,1,1.50198333067485,NA,1.22291683616162,NA,262,0.622137404580153,2,88,0.88,0.12,2.34997358413218
"30","ATHF18","16806",0.017,"SpaceCakesLevel 2-3-0",60,1069,15,"3786",883,1.06348742366931,0.580801009021027,1,0,NA,185,1.01444534918919,0.627618062574836,12,9,1,2,139,257,188,299,NA,NA,NA,NA,0.85863078057554,0.934077215564202,0.773970245744681,1.45199152508361,NA,NA,NA,NA,0.390475968820235,0.404411647481992,0.464381372385159,0.643145585788565,NA,NA,NA,NA,149,270,270,380,NA,NA,NA,NA,139,257,188,299,NA,NA,NA,NA,0.932885906040268,0.951851851851852,0.696296296296296,0.786842105263158,NA,NA,NA,NA,128,1,56,NA,1.2224486125,0,0.994200114285714,NA,185,0.691891891891892,6,83,0.83,0.17,1.90833050629239
