"","accessCode","userID","fastestRT_diff_Easy","fastestRT_diff_Medium","fastestRT_diff_Difficult","highestLevel_diff_Easy","highestLevel_diff_Medium","highestLevel_diff_Difficult","highestLevelTrialCount_diff_Easy","highestLevelTrialCount_diff_Medium","highestLevelTrialCount_diff_Difficult","trialCount_diff_Easy","trialCount_diff_Medium","trialCount_diff_Difficult","nLevels_diff_Easy","nLevels_diff_Medium","nLevels_diff_Difficult","timePlayed_difficulty_Easy","timePlayed_difficulty_Medium","timePlayed_difficulty_Difficult","HITS_diff_Easy","HITS_diff_Medium","HITS_diff_Difficult","Hit_AvgRT_diff_Easy","Hit_AvgRT_diff_Medium","Hit_AvgRT_diff_Difficult","Hit_SDRT_diff_Easy","Hit_SDRT_diff_Medium","Hit_SDRT_diff_Difficult","MISSED_diff_Easy","MISSED_diff_Medium","MISSED_diff_Difficult","Miss_AvgRT_diff_Easy","Miss_AvgRT_diff_Medium","Miss_AvgRT_diff_Difficult","Miss_SDRT_diff_Easy","Miss_SDRT_diff_Medium","Miss_SDRT_diff_Difficult","WRONG_diff_Easy","WRONG_diff_Medium","WRONG_diff_Difficult","Wrong_AvgRT_diff_Easy","Wrong_AvgRT_diff_Medium","Wrong_AvgRT_diff_Difficult","Wrong_SDRT_diff_Easy","Wrong_SDRT_diff_Medium","Wrong_SDRT_diff_Difficult","highestLevelPct_diff_Easy","highestLevelPct_diff_Medium","highestLevelPct_diff_Difficult","percentCorrect_diff_Easy","percentCorrect_diff_Medium","percentCorrect_diff_Difficult","HitRate_diff_Easy","HitRate_diff_Medium","HitRate_diff_Difficult","FARate_diff_Easy","FARate_diff_Medium","FARate_diff_Difficult","DPrime_diff_Easy","DPrime_diff_Medium","DPrime_diff_Difficult"
"118","ATMBF18","17147",0.033435,0,NA,"SpaceCakesLevel 0-3-0","SpaceCakesLevel 2-3-2",NA,30,60,NA,510,500,NA,6,7,NA,"1209877","1210118",NA,423,389,NA,1.79174928132388,1.69359150745501,NA,1.08577796453745,0.80771843554383,NA,11,3,NA,2.03558763636364,1.81896863333333,NA,1.37780138538407,1.28393089454737,NA,76,108,NA,2.05118511460526,1.54010243518519,NA,1.25619824673315,0.99498439343762,NA,6,12,NA,83,78,NA,0.83,0.78,NA,0.15,0.22,NA,1.99059864263998,1.54438642837737,NA
"119","ATMBF18","17150",0.04992,0.049125,NA,"SpaceCakesLevel 0-2-2","SpaceCakesLevel 2-0-5",NA,60,10,NA,400,215,NA,8,6,NA,"1209771","1210968",NA,303,143,NA,1.49094252244224,1.68540711818182,NA,1.17988396031992,0.924207528354392,NA,11,0,NA,0.913004545454545,NA,NA,1.47893236099535,NA,NA,86,72,NA,2.03997360232558,1.37213895694444,NA,1.45875875907155,0.882173170161042,NA,15,5,NA,76,67,NA,0.76,0.66,NA,0.22,0.34,NA,1.47849577702877,0.824926258882809,NA
"120","ATMBF18","17156",0.01678,0.016545,NA,"SpaceCakesLevel 0-3-5","SpaceCakesLevel 3-0-3",NA,30,40,NA,764,699,NA,16,11,NA,"606056","1210410",NA,634,532,NA,1.47922257949527,2.46381502368421,NA,0.900377902326828,1.15746654732362,NA,0,3,NA,NA,1.07705466666667,NA,NA,1.79308728941185,NA,130,164,NA,1.39873455384615,2.33366073292683,NA,0.920923081836416,1.41221046639502,NA,4,6,NA,83,76,NA,0.83,0.76,NA,0.17,0.24,NA,1.90833050629239,1.41260512568018,NA
"121","ATMBF18","17158",0.133045,0.0327,NA,"SpaceCakesLevel 0-4-1","SpaceCakesLevel 3-3-0",NA,30,9,NA,778,919,NA,10,16,NA,"1209990","2419922",NA,688,717,NA,0.985535490116279,1.38621143891213,NA,0.567103170157689,0.579820896453234,NA,3,16,NA,1.37348666666667,0.738415025,NA,0.424213505216811,0.494061834145216,NA,87,186,NA,1.30082213218391,1.31905209569892,NA,0.761715580917364,0.62856157231934,NA,4,1,NA,88,78,NA,0.88,0.78,NA,0.11,0.2,NA,2.4015149121027,1.6138144477616,NA
"122","ATMBF18","17161",0.367065,0.1712,NA,"SpaceCakesLevel 0-2-4","SpaceCakesLevel 3-3-0",NA,60,10,NA,465,698,NA,6,12,NA,"1209588","1210366",NA,445,570,NA,1.09896315303371,1.80903612807018,NA,0.666937358727256,0.779043160713151,NA,0,8,NA,NA,1.30532525,NA,NA,0.855645440563647,NA,20,120,NA,1.362898955,1.7778608,NA,0.838443031767159,0.897826001509273,NA,13,1,NA,96,82,NA,0.96,0.82,NA,0.04,0.17,NA,3.50137214250434,1.86953034098901,NA
"123","ATMBF18","17166",0,0.033215,NA,"SpaceCakesLevel 0-4-5","SpaceCakesLevel 3-0-4",NA,30,35,NA,1164,1357,NA,19,29,NA,"1210302","2420138",NA,908,964,NA,1.14054794735683,1.24791618070539,NA,0.710038813031724,0.680909902326776,NA,7,0,NA,1.07489927142857,NA,NA,1.2329270297138,NA,NA,249,393,NA,1.14244198313253,1.11560889694656,NA,0.852374189600329,0.738117521247892,NA,3,3,NA,78,71,NA,0.78,0.71,NA,0.21,0.29,NA,1.57861446120693,1.10676943911135,NA
"124","ATMBF18","17167",0.400405,0.13359,0.433745,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-3-0","SpaceCakesLevel 4-3-0",60,120,20,405,1069,320,5,20,7,"605752","2418490","774",360,973,262,1.29389665416667,1.28510356505653,1.46745458473282,0.619757392952492,0.535283464943267,0.521686720940706,0,0,0,NA,NA,NA,NA,NA,NA,45,96,58,1.42264124666667,1.19677998125,1.58846389482759,0.732753856791316,0.567381037053354,0.547317654608415,15,11,6,89,91,82,0.89,0.91,0.82,0.11,0.09,0.18,2.45305624007322,2.68151006738043,1.83073017568563
"125","ATMBF18","17172",0,0,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 2-4-2",NA,40,20,NA,1185,969,NA,11,15,NA,"1210220","2420252",NA,1029,760,NA,0.834219820913508,1.51009765551316,NA,0.494256270069427,0.806189729987126,NA,14,2,NA,1.17857391428571,2.678549,NA,0.651071582003943,1.9458857369337,NA,142,207,NA,0.903110219859155,1.51121932415459,NA,1.03745786414585,1.08643393730992,NA,3,2,NA,87,78,NA,0.87,0.78,NA,0.12,0.21,NA,2.30137792110489,1.57861446120693,NA
"126","ATMBF18","17345",0.15016,0.2505,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-0-0",NA,30,31,NA,776,671,NA,9,11,NA,"1209816","2419656",NA,685,535,NA,1.14829878,1.60465757962617,NA,0.710065612330063,0.878627575129208,NA,3,3,NA,2.54726836666667,1.607366,NA,2.33608109157067,1.9809759153175,NA,88,133,NA,1.63712684545455,1.96883767593985,NA,1.12023228019397,1.24284071117962,NA,4,5,NA,88,80,NA,0.88,0.8,NA,0.11,0.2,NA,2.4015149121027,1.68324246714583,NA
"127","ATMBF18","17347",0,0.016515,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 2-4-2",NA,30,60,NA,861,649,NA,16,14,NA,"1209936","1210197",NA,718,485,NA,1.13126398871866,1.19918755092784,NA,0.542381140697274,0.517331379047573,NA,1,0,NA,0.749895,NA,NA,NA,NA,NA,142,164,NA,1.08132277605634,0.87821972445122,NA,0.572314658669148,0.458435453559439,NA,3,9,NA,83,75,NA,0.83,0.75,NA,0.17,0.25,NA,1.90833050629239,1.34897950039216,NA
"128","ATMBF18","17630",0.333835,0.365955,0.716975,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-3-0","SpaceCakesLevel 4-1-1",30,60,16,180,790,416,5,15,5,"513","2418828","605515",173,694,361,1.12180915953757,2.37468026311239,2.98981508421053,0.65821051765456,1.40468668356192,1.71108079649842,0,11,8,NA,5.07049127272727,3.8769405,NA,1.54165594480961,2.98209504594328,7,85,47,2.20722085714286,3.24939658588235,4.07650553191489,1.2396046999375,1.60012580223442,2.02027013716433,17,8,4,96,88,87,0.96,0.88,0.87,0.04,0.11,0.11,3.50137214250434,2.4015149121027,2.35291924907541
"129","ATMBF18","17635",0.483985,0.1594,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-0-1",NA,30,44,NA,210,1092,NA,5,14,NA,"973","3024207",NA,172,825,NA,1.69396377383721,3.09251010048485,NA,1.14699676905047,1.48224451070325,NA,0,23,NA,NA,3.86743143478261,NA,NA,1.85268966186353,NA,38,244,NA,2.06463828947368,2.87984015737705,NA,1.13429613075881,1.48601169971897,NA,14,4,NA,82,76,NA,0.82,0.76,NA,0.18,0.22,NA,1.83073017568563,1.47849577702877,NA
"130","ATMBF18","17640",0.033325,0.08378001,0,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-3-1","SpaceCakesLevel 4-0-3",30,60,40,299,990,360,5,16,5,"1294","3024390","605714",262,843,265,1.2807846980916,1.45867435030842,1.47774876943396,0.985852875854324,0.641522764808756,0.746965834607206,0,1,0,NA,1.6855,NA,NA,NA,NA,37,146,95,1.13636502162162,1.45136834726027,1.27274032526316,0.557411451457641,0.754211249943417,0.831347307043366,10,6,11,88,85,74,0.88,0.85,0.74,0.12,0.15,0.26,2.34997358413218,2.07286677898758,1.28669081078583
"131","ATMBF18","17645",NA,0,NA,NA,"SpaceCakesLevel 2-1-3",NA,NA,39,NA,NA,634,NA,NA,11,NA,NA,"1815830",NA,NA,395,NA,NA,1.68274514248101,NA,NA,1.25103673357836,NA,NA,6,NA,NA,1.05398318333333,NA,NA,1.18701626789478,NA,NA,233,NA,NA,1.44669082150215,NA,NA,1.29017646927255,NA,NA,6,NA,NA,62,NA,NA,0.62,NA,NA,0.37,NA,NA,0.637334134536214,NA
"132","ATMBF18","17654",0,0,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-2-2",NA,15,50,NA,435,1710,NA,8,19,NA,"1362","1815565",NA,343,1264,NA,1.63221353236152,1.51775952492089,NA,1.19751895273582,1.08885431303367,NA,1,17,NA,3.871197,0.559337058823529,NA,NA,0.795200573297114,NA,91,429,NA,2.58253050549451,1.08405084729604,NA,1.62446900266185,1.06447569242784,NA,3,3,NA,79,74,NA,0.79,0.74,NA,0.21,0.25,NA,1.61284249403648,1.317835155589,NA
"133","ATMBF18","17662",0.43374,0,0,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-3-0","SpaceCakesLevel 4-0-4",60,180,40,360,1215,524,5,14,6,"1466","3024428","1209860",344,1051,394,1.32335544505814,1.6105016489058,2.24092972411168,0.67764651743479,0.803682787238114,1.11868330790258,0,2,2,NA,0,0.61739,NA,0,0.873121311273525,16,162,128,1.58579588125,1.46420235919753,2.03871595234375,0.846300815240129,0.96817192938792,1.13171473387082,17,15,8,96,87,75,0.95,0.86,0.75,0.05,0.13,0.24,3.28970725390294,2.20671046985376,1.38079231303617
"134","ATMBF18","17665",0.317275,0,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-0-2",NA,50,40,NA,380,1638,NA,6,23,NA,"1342","3024612",NA,347,1138,NA,1.23423837694524,1.28314869788225,NA,0.797435850889604,0.696131378786149,NA,0,4,NA,NA,0.366988725,NA,NA,0.470620655969507,NA,33,496,NA,1.78726184848485,1.03109112116935,NA,1.19244416026217,0.784942257812302,NA,13,2,NA,91,69,NA,0.91,0.69,NA,0.09,0.3,NA,2.68151006738043,1.02025086005549,NA
"135","ATMBF18","17666",NA,0,NA,NA,"SpaceCakesLevel 2-3-0",NA,NA,60,NA,NA,1740,NA,NA,19,NA,NA,"1815469",NA,NA,1228,NA,NA,1.25115549917752,NA,NA,0.860721911363336,NA,NA,6,NA,NA,1.43465918333333,NA,NA,1.02626947114791,NA,NA,506,NA,NA,0.950446607134387,NA,NA,0.936695441947127,NA,NA,3,NA,NA,71,NA,NA,0.71,NA,NA,0.29,NA,NA,1.10676943911135,NA
