"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","nondominant_cntTotal","nondominant_cntCorrect","nondominant_rtMean","nondominant_rtMedian","nondominant_rtStDev","nondominant_nihMedian","nondominant_accuracy_Fieldname","dominant_cntTotal","dominant_cntCorrect","dominant_rtMean","dominant_rtMedian","dominant_rtStDev","dominant_nihMedian","dominant_accuracy_Fieldname","reportDate"
"520","PUF18a","3300","17019","NA","dccs","9787b1t1jdb5fapnvhc3dged62","pub_5qZ84cMfOJ","6.42836","2018-10-09 09:40:58","40","38","5","1","1.67836","7","5","1666.8","1385","928.758","1385","0.714286","23","23","2025.65","1705","1281.99","1705","1","2019-03-20 16:02:56"
"519","PUF18a","3300","17022","NA","dccs","nlkeurpdem0gd3s2h1mltssmv0","pub_5c82UQu@Es","7.86203","2018-10-09 09:39:49","40","40","5","1","2.86203","7","7","819.714","803","242.559","803","1","23","23","847.609","700","405.404","700","1","2019-03-20 16:02:50"
"518","PUF18a","3300","17024","NA","dccs","m5jhqdbe1n2lhh264ku6kgmrc6","pub_NxnNM6nEmK","8.35339","2018-10-09 09:42:18","40","33","4","1","4.22839","7","3","627.333","428","410.103","428","0.428571","23","20","550.35","541","130.621","537","0.869565","2019-03-20 16:02:47"
"517","PUF18a","3300","17008","NA","dccs","3p67r6o5se0flllh6nr31dt0c6","pub_5R1m4DX_kP","7.61203","2018-10-09 09:45:18","40","38","5","1","2.86203","7","7","929.286","803","373.282","803","1","23","21","718.714","681","195.297","681","0.913043","2019-03-20 16:02:41"
"516","PUF18a","3300","17009","NA","dccs","m30qgk1816mvtf0b6vmudjia84","pub_22VQZAeT6o","7.94846","2018-10-09 09:45:14","40","39","5","1","3.07346","7","6","674.833","728.5","128.73","728.5","0.857143","23","23","755.217","668","248.363","668","1","2019-03-20 16:02:39"
"515","PUF18a","3300","17006","NA","dccs","2f7l1qdbf3s5gvrg5ri0a7ut22","pub_nzT_4HFd0b","7.66167","2018-10-09 09:45:27","40","36","5","1","3.16167","7","6","796","699.5","278.492","699.5","0.857143","23","20","789.8","665.5","341.272","665.5","0.869565","2019-03-20 16:02:37"
"514","PUF18a","3300","17007","NA","dccs","0j89vpfpefepgsfjqfoaq0d0m2","pub_TdhyzoIryV","7.88385","2018-10-09 09:45:31","40","39","5","1","3.00885","7","6","857.5","750.5","336.215","750.5","0.857143","23","23","714.043","634","336.094","630.5","1","2019-03-20 16:02:35"
"513","PUF18a","3300","17017","NA","dccs","b9v6sdhbul72o5jkq4o37d6cv0","pub_aZLoUUacNM","8.02216","2018-10-09 09:44:25","40","36","5","1","3.52216","7","6","675.667","592.5","295.162","592.5","0.857143","23","20","902.5","718","581.831","716","0.869565","2019-03-20 16:02:34"
"512","PUF18a","3300","17033","NA","dccs","0f7emg9gs8o7lcpogg2a99rj12","pub_8@qQj9lXBv","8.29983","2018-10-09 09:43:34","40","38","5","1","3.54983","7","7","612.714","585","169.497","585","1","23","21","684.143","626","195.081","626","0.913043","2019-03-20 16:02:32"
"511","PUF18a","3300","17016","NA","dccs","big8mvrcincmnnirrkc5v0b1u0","pub_VqZiIyAyLn","8.11409","2018-10-09 09:45:34","40","39","5","1","3.23909","7","7","1152.43","675","971.191","675","1","23","22","843.909","702.5","463.995","691","0.956522","2019-03-20 16:02:30"
