"id","userID","accessCode","task","pre_nihScore","pre_nihAccuracy","pre_nihRTScore"
216,16863,"PUF18","dccs",3.84615,4,2.95597
215,16864,"PUF18","dccs",8.63602,5,3.76423
214,16865,"PUF18","dccs",7.27023,4,2.91126
213,16866,"PUF18","dccs",6.63127,4,2.38127
212,16867,"PUF18","dccs",7.4681,5,2.72451
211,16868,"PUF18","dccs",6.79757,5,2.05398
210,16870,"PUF18","dccs",6.6815,5,1.6815
209,16871,"PUF18","dccs",8.81396,5,3.81396
208,16872,"PUF18","dccs",7.35542,5,2.35542
207,16873,"PUF18","dccs",7.46301,4,2.97583
206,16874,"PUF18","dccs",7.35456,4,3.25199
205,16875,"PUF18","dccs",7.93726,4,3.45008
204,16876,"PUF18","dccs",3.46154,3,2.81521
203,16877,"PUF18","dccs",7.73851,5,2.73851
202,16878,"PUF18","dccs",7.15761,5,2.41402
201,16879,"PUF18","dccs",6.57947,4,2.2205
200,16880,"PUF18","dccs",7.78582,5,2.91403
199,16881,"PUF18","dccs",0,4,0
198,16882,"PUF18","dccs",6.70973,4,2.60717
197,16883,"PUF18","dccs",6.77347,5,2.02988
196,16884,"PUF18","dccs",5.71863,4,1.23145
195,16885,"PUF18","dccs",2.05128,2,3.14466
194,16886,"PUF18","dccs",7.43947,5,2.43947
193,16887,"PUF18","dccs",6.12265,4,1.74765
192,16888,"PUF18","dccs",5.59106,4,1.23208
191,16889,"PUF18","dccs",7.4399,4,3.08092
190,16890,"PUF18","dccs",8.44408,4,3.9569
189,16895,"PUF18","dccs",6.9185,5,1.9185
188,16896,"PUF18","dccs",7.66356,4,3.56099
187,16897,"PUF18","dccs",6.34506,4,1.98608
186,16898,"PUF18","dccs",7.89133,5,3.14774
185,16899,"PUF18","dccs",7.6052,5,2.73341
184,16900,"PUF18","dccs",3.33333,3,1.63566
183,16901,"PUF18","dccs",7.01055,4,2.77978
182,16902,"PUF18","dccs",9.17109,5,4.4275
181,16903,"PUF18","dccs",7.90831,5,3.03652
180,16904,"PUF18","dccs",4.92459,4,0.693822
179,16905,"PUF18","dccs",2.5641,3,2.83783
178,16906,"PUF18","dccs",7.60022,5,2.85663
