id,userID,accessCode,task,post_nihScore,post_nihAccuracy,post_nihRTScore,,,,,,
901,16926,FA18UCpost,dccs,7.21897,5,2.47538,,,,,,
900,16927,FA18UCpost,dccs,3.97436,4,2.26832,,,,,,
899,16928,FA18UCpost,dccs,6.07645,4,1.58927,,,,,,
898,16929,FA18UCpost,dccs,7.26471,5,2.52112,,,,,,
897,16930,FA18UCpost,dccs,7.64932,5,2.90573,,,,,,
896,16931,FA18UCpost,dccs,7.16422,5,2.42063,,,,,,
895,16932,FA18UCpost,dccs,7.67226,4,3.18508,,,,,,
894,16933,FA18UCpost,dccs,7.24107,4,2.75389,,,,,,
893,16934,FA18UCpost,dccs,7.97981,5,3.10801,,,,,,
892,16935,FA18UCpost,dccs,7.45399,5,2.45399,,,,,,
891,16936,FA18UCpost,dccs,8.87561,5,3.87561,,,,,,
890,16937,FA18UCpost,dccs,6.9056,4,2.41843,,,,,,
889,16938,FA18UCpost,dccs,6.94637,5,2.07458,,,,,,
888,16940,FA18UCpost,dccs,6.91937,5,1.91937,,,,,,
887,16941,FA18UCpost,dccs,8.42936,5,3.68577,,,,,,
886,17006,FA18UCpost,dccs,8.03359,5,3.03359,,,,,,
885,17007,FA18UCpost,dccs,7.58552,5,2.97014,,,,,,
884,17008,FA18UCpost,dccs,7.74522,5,3.00163,,,,,,
883,17009,FA18UCpost,dccs,6.73155,5,1.85976,,,,,,
882,17010,FA18UCpost,dccs,7.7845,5,3.04092,,,,,,
881,17011,FA18UCpost,dccs,6.73922,4,2.50845,,,,,,
880,17012,FA18UCpost,dccs,3.84615,4,3.37003,,,,,,
879,17013,FA18UCpost,dccs,7.49586,5,2.62407,,,,,,
878,17014,FA18UCpost,dccs,6.13009,4,1.89932,,,,,,
877,17015,FA18UCpost,dccs,0,4,0,,,,,,
876,17016,FA18UCpost,dccs,7.37694,5,2.37694,,,,,,
875,17017,FA18UCpost,dccs,7.68503,4,3.32606,,,,,,
874,17018,FA18UCpost,dccs,3.71795,4,2.43502,,,,,,
873,17019,FA18UCpost,dccs,7.0629,5,2.31931,,,,,,
872,17020,FA18UCpost,dccs,0,4,0,,,,,,
871,17021,FA18UCpost,dccs,7.31349,5,2.4417,,,,,,
870,17022,FA18UCpost,dccs,8.07895,5,3.20715,,,,,,
869,17023,FA18UCpost,dccs,8.8831,5,4.0113,,,,,,
868,17024,FA18UCpost,dccs,3.97436,4,1.49865,,,,,,
867,17025,FA18UCpost,dccs,7.63148,5,3.0161,,,,,,
866,17026,FA18UCpost,dccs,8.40273,5,3.40273,,,,,,
865,17027,FA18UCpost,dccs,6.99333,4,2.50615,,,,,,
864,17028,FA18UCpost,dccs,7.88644,5,3.01465,,,,,,
863,17029,FA18UCpost,dccs,8.50782,5,3.76423,,,,,,
862,17030,FA18UCpost,dccs,8.08212,5,3.21033,,,,,,
861,17031,FA18UCpost,dccs,4.23077,4,0,,,,,,
860,17032,FA18UCpost,dccs,7.19022,4,2.70304,,,,,,
859,17033,FA18UCpost,dccs,3.33333,3,4.46961,,,,,,
858,16944,FA18UCpost,dccs,2.5641,3,0.743708,,,,,,
857,16945,FA18UCpost,dccs,2.4359,2,1.01539,,,,,,
856,16946,FA18UCpost,dccs,6.28625,4,1.92727,,,,,,
855,16947,FA18UCpost,dccs,7.70068,4,3.2135,,,,,,
854,16948,FA18UCpost,dccs,8.23427,5,3.23427,,,,,,
853,16949,FA18UCpost,dccs,7.24115,5,2.36615,,,,,,
852,16950,FA18UCpost,dccs,8.09326,5,3.22147,,,,,,
851,16951,FA18UCpost,dccs,2.05128,2,2.13564,,,,,,
850,16951,FA18UCpost,dccs,6.40866,5,1.66507,,,,,,
849,16952,FA18UCpost,dccs,3.58974,4,2.82184,,,,,,
848,16953,FA18UCpost,dccs,6.35556,5,1.61197,,,,,,
847,16954,FA18UCpost,dccs,6.88332,5,2.01152,,,,,,
846,16955,FA18UCpost,dccs,7.17263,5,2.55725,,,,,,
845,16956,FA18UCpost,dccs,5.64832,4,1.27332,,,,,,
844,16957,FA18UCpost,dccs,7.58508,5,2.73213,,,,,,
843,16959,FA18UCpost,dccs,7.40802,5,2.66443,,,,,,
842,16960,FA18UCpost,dccs,7.60126,4,3.11408,,,,,,
841,17034,FA18UCpost,dccs,6.46155,4,1.97437,,,,,,
840,17035,FA18UCpost,dccs,7.45857,5,2.84318,,,,,,
839,17036,FA18UCpost,dccs,7.16231,4,2.80334,,,,,,
838,17037,FA18UCpost,dccs,6.83541,5,1.96362,,,,,,
837,17038,FA18UCpost,dccs,8.69766,5,3.69766,,,,,,
836,17039,FA18UCpost,dccs,2.5641,3,2.30253,,,,,,
835,17040,FA18UCpost,dccs,7.83207,5,3.21668,,,,,,
834,17041,FA18UCpost,dccs,7.46184,5,2.46184,,,,,,
833,17042,FA18UCpost,dccs,8.06316,5,3.19136,,,,,,
832,17043,FA18UCpost,dccs,7.08326,5,2.21146,,,,,,
831,17044,FA18UCpost,dccs,7.39213,5,2.39213,,,,,,
830,17045,FA18UCpost,dccs,6.20716,5,1.46357,,,,,,
829,17046,FA18UCpost,dccs,7.32915,5,2.45735,,,,,,
828,17048,FA18UCpost,dccs,3.97436,4,4.40262,,,,,,
827,17049,FA18UCpost,dccs,7.4937,5,2.87831,,,,,,
826,17050,FA18UCpost,dccs,7.25282,5,2.63744,,,,,,
825,17051,FA18UCpost,dccs,7.05491,5,2.05491,,,,,,
824,17057,FA18UCpost,dccs,8.20255,5,3.45896,,,,,,
823,17132,FA18UCpost,dccs,7.61798,5,2.74619,,,,,,
822,17133,FA18UCpost,dccs,7.51039,5,2.7668,,,,,,
821,17134,FA18UCpost,dccs,7.36754,4,3.26498,,,,,,
820,17135,FA18UCpost,dccs,7.3079,5,2.56431,,,,,,
819,17136,FA18UCpost,dccs,6.91333,4,2.42615,,,,,,
818,17137,FA18UCpost,dccs,3.71795,4,0,,,,,,
817,17138,FA18UCpost,dccs,8.54378,5,3.67198,,,,,,
816,17139,FA18UCpost,dccs,6.35291,4,1.86573,,,,,,
815,17140,FA18UCpost,dccs,8.01119,5,3.39581,,,,,,
814,17141,FA18UCpost,dccs,6.63598,5,1.89239,,,,,,
813,17142,FA18UCpost,dccs,6.84597,5,2.23058,,,,,,
812,17143,FA18UCpost,dccs,7.6725,5,2.80071,,,,,,
811,17144,FA18UCpost,dccs,6.34523,4,2.11446,,,,,,
810,17145,FA18UCpost,dccs,3.84615,4,2.9016,,,,,,
809,17146,FA18UCpost,dccs,2.125,2,0.149816,,,,,,
808,17147,FA18UCpost,dccs,7.6519,5,3.03652,,,,,,
807,17149,FA18UCpost,dccs,6.13827,4,1.65109,,,,,,
806,17150,FA18UCpost,dccs,7.24881,4,2.76163,,,,,,
805,17151,FA18UCpost,dccs,8.46723,5,3.72364,,,,,,
804,17152,FA18UCpost,dccs,7.636,5,2.76421,,,,,,
803,17058,FA18UCpost,dccs,7.14826,5,2.14826,,,,,,
802,17059,FA18UCpost,dccs,8.69378,5,3.95019,,,,,,
801,17060,FA18UCpost,dccs,7.03951,4,2.68054,,,,,,
800,17061,FA18UCpost,dccs,2.05128,2,2.85393,,,,,,
799,17062,FA18UCpost,dccs,7.03702,4,2.67805,,,,,,
798,17062,FA18UCpost,dccs,6.50016,5,1.75657,,,,,,
797,17063,FA18UCpost,dccs,7.60429,4,3.11712,,,,,,
796,17064,FA18UCpost,dccs,8.8153,5,3.94351,,,,,,
795,17065,FA18UCpost,dccs,7.93071,5,2.93071,,,,,,
794,17066,FA18UCpost,dccs,3.33333,3,0,,,,,,
793,17067,FA18UCpost,dccs,3.97436,4,2.98154,,,,,,
792,17068,FA18UCpost,dccs,8.24267,5,3.62729,,,,,,
791,17069,FA18UCpost,dccs,3.84615,4,2.38127,,,,,,
790,17070,FA18UCpost,dccs,7.23209,4,2.74491,,,,,,
789,17071,FA18UCpost,dccs,7.73659,5,2.993,,,,,,
788,17072,FA18UCpost,dccs,7.27717,5,2.77717,,,,,,
787,17073,FA18UCpost,dccs,7.30554,5,2.56195,,,,,,
786,17074,FA18UCpost,dccs,7.20543,5,2.46184,,,,,,
785,17075,FA18UCpost,dccs,5,5,0,,,,,,
784,17076,FA18UCpost,dccs,3.33333,3,2.75518,,,,,,
783,17077,FA18UCpost,dccs,6.53539,4,2.30462,,,,,,
782,17156,FA18UCpost,dccs,2.69231,3,1.65342,,,,,,
781,17157,FA18UCpost,dccs,7.37154,5,2.37154,,,,,,
780,17158,FA18UCpost,dccs,7.18674,4,2.95597,,,,,,
779,17159,FA18UCpost,dccs,7.37701,5,2.76163,,,,,,
778,17160,FA18UCpost,dccs,3.58974,4,2.24886,,,,,,
777,17161,FA18UCpost,dccs,2.17949,2,3.06899,,,,,,
776,17162,FA18UCpost,dccs,3.71795,4,1.93255,,,,,,
775,17163,FA18UCpost,dccs,6.84619,4,2.74363,,,,,,
774,17164,FA18UCpost,dccs,7.30839,5,2.69301,,,,,,
773,17166,FA18UCpost,dccs,5.96074,4,1.71074,,,,,,
772,17167,FA18UCpost,dccs,6.81723,5,2.07364,,,,,,
771,17168,FA18UCpost,dccs,7.505,5,2.505,,,,,,
770,17169,FA18UCpost,dccs,6.12044,5,1.37044,,,,,,
769,17170,FA18UCpost,dccs,7.39828,5,2.77328,,,,,,
768,17172,FA18UCpost,dccs,7.6507,5,2.90711,,,,,,
767,17173,FA18UCpost,dccs,6.85114,5,2.35114,,,,,,
766,17174,FA18UCpost,dccs,3.97436,4,2.78238,,,,,,
765,17083,FA18UCpost,dccs,7.56551,5,2.69051,,,,,,
764,17084,FA18UCpost,dccs,7.89662,5,3.02482,,,,,,
763,17085,FA18UCpost,dccs,7.63283,5,2.88924,,,,,,
762,17086,FA18UCpost,dccs,8.10169,5,3.3581,,,,,,
761,17087,FA18UCpost,dccs,7.94079,5,3.06899,,,,,,
760,17088,FA18UCpost,dccs,7.1278,5,2.25601,,,,,,
759,17089,FA18UCpost,dccs,7.34921,4,2.86203,,,,,,
758,17090,FA18UCpost,dccs,8.34862,5,3.47683,,,,,,
757,17091,FA18UCpost,dccs,7.32684,5,2.58325,,,,,,
756,17092,FA18UCpost,dccs,6.579,5,1.96362,,,,,,
755,17093,FA18UCpost,dccs,8.85831,5,4.11472,,,,,,
754,17094,FA18UCpost,dccs,7.46049,5,2.7169,,,,,,
753,17095,FA18UCpost,dccs,7.14544,4,2.65826,,,,,,
752,17096,FA18UCpost,dccs,3.07692,3,3.20399,,,,,,
751,17097,FA18UCpost,dccs,8.10045,5,3.10045,,,,,,
