"id.x","userID","accessCode.x","task.x","pre_nihScore","pre_nihAccuracy","pre_nihRTScore","id.y","accessCode.y","task.y","post_nihScore","post_nihAccuracy","post_nihRTScore"
605,17202,"PRF18","flanker",8.37889,5,3.61699,1680,"JRPOF18","flanker",3.33333,3,1.27119
606,17201,"PRF18","flanker",6.55727,4,2.15251,1691,"JRPOF18","flanker",8.27224,5,3.39129
607,17200,"PRF18","flanker",8.32304,5,3.32304,1692,"JRPOF18","flanker",8.36635,5,3.36635
608,17199,"PRF18","flanker",3.69048,4,2.33829,1693,"JRPOF18","flanker",7.86798,5,2.98703
609,17198,"PRF18","flanker",7.08847,5,2.08847,1681,"JRPOF18","flanker",7.97662,5,3.09567
610,17197,"PRF18","flanker",3.57143,4,0.151277,1694,"JRPOF18","flanker",3.57143,4,2.09995
611,17196,"PRF18","flanker",7.7789,5,2.7789,1695,"JRPOF18","flanker",7.0275,5,2.0275
612,17195,"PRF18","flanker",7.5574,5,2.67644,1682,"JRPOF18","flanker",7.58936,5,2.58936
613,17194,"PRF18","flanker",6.71336,5,1.83241,1683,"JRPOF18","flanker",7.89917,5,2.89917
615,17192,"PRF18","flanker",3.58974,4,0.954479,1684,"JRPOF18","flanker",3.92857,4,1.16641
616,17211,"PRF18","flanker",8.1532,5,3.39129,1687,"JRPOF18","flanker",7.48091,5,2.83805
629,18661,"PUF18","flanker",6.60656,5,2.08276,1353,"FA18UCpost","flanker",7.80402,5,2.80402
630,18618,"PUF18","flanker",5.95198,4,1.90436,1354,"FA18UCpost","flanker",7.07069,4,3.02307
631,18617,"PUF18","flanker",7.74049,5,2.74049,1355,"FA18UCpost","flanker",7.94258,5,2.94258
634,17701,"PUF18","flanker",8.27527,5,3.27527,1227,"FA18UCpost","flanker",8.67462,5,3.67462
635,17700,"PUF18","flanker",7.80694,5,2.92599,1228,"FA18UCpost","flanker",6.17172,4,2.1241
636,17699,"PUF18","flanker",5.8579,5,1.096,1229,"FA18UCpost","flanker",6.8314,5,2.06949
637,17698,"PUF18","flanker",3.57143,4,0.82978,1230,"FA18UCpost","flanker",7.27275,4,2.98703
638,17697,"PUF18","flanker",5.29891,4,1.0132,1222,"FA18UCpost","flanker",5.42116,4,1.0164
640,17695,"PUF18","flanker",8.43203,5,3.67012,1231,"FA18UCpost","flanker",7.20966,5,2.20966
642,17690,"PUF18","flanker",7.28038,5,2.63752,1232,"FA18UCpost","flanker",8.05735,5,3.1764
643,17689,"PUF18","flanker",8.20411,5,3.20411,1233,"FA18UCpost","flanker",8.25494,5,3.37399
644,17688,"PUF18","flanker",7.45019,5,2.68828,1223,"FA18UCpost","flanker",7.90658,5,2.90658
645,17687,"PUF18","flanker",5.81277,5,1.05087,1234,"FA18UCpost","flanker",6.75376,5,1.99186
646,17686,"PUF18","flanker",3.45238,3,3.4422,1224,"FA18UCpost","flanker",3.21429,3,2.34375
