"id","userID","accessCode","task","post_nihScore","post_nihAccuracy","post_nihRTScore","dateTime"
937,16888,"FA18UCpost","dccs",7.33609,5,2.7207,"2018-11-27 13:26:43"
936,16889,"FA18UCpost","dccs",7.29614,5,2.55255,"2018-11-27 13:28:49"
935,16890,"FA18UCpost","dccs",6.77689,4,2.67433,"2018-11-27 13:29:34"
934,16896,"FA18UCpost","dccs",6.62508,4,2.39431,"2018-11-27 14:13:13"
933,16897,"FA18UCpost","dccs",7.40645,4,3.17568,"2018-12-04 14:12:11"
932,16899,"FA18UCpost","dccs",7.36029,5,2.74491,"2018-11-27 14:13:20"
931,16901,"FA18UCpost","dccs",5.70787,4,1.4771,"2018-11-27 14:13:35"
930,16903,"FA18UCpost","dccs",7.97678,5,3.10498,"2018-11-27 14:12:08"
929,16904,"FA18UCpost","dccs",4.9806,4,0.749834,"2018-11-27 14:15:00"
928,16906,"FA18UCpost","dccs",8.86937,5,3.99757,"2018-11-27 14:12:17"
927,16907,"FA18UCpost","dccs",8.04605,5,3.43066,"2018-11-27 14:16:16"
926,16908,"FA18UCpost","dccs",7.88644,5,3.01465,"2018-11-27 14:12:06"
907,16920,"FA18UCpost","dccs",4.74145,4,0.25427,"2018-12-04 08:58:04"
906,16921,"FA18UCpost","dccs",3.97436,4,2.55372,"2018-12-04 08:54:46"
905,16922,"FA18UCpost","dccs",7.81654,5,2.81654,"2018-12-04 08:55:12"
904,16923,"FA18UCpost","dccs",7.60022,5,2.85663,"2018-12-04 08:54:10"
903,16924,"FA18UCpost","dccs",7.60562,5,2.86203,"2018-12-11 08:55:27"
902,16925,"FA18UCpost","dccs",7.14445,5,2.40086,"2018-12-04 08:54:38"
901,16926,"FA18UCpost","dccs",7.21897,5,2.47538,"2018-12-04 08:54:33"
900,16927,"FA18UCpost","dccs",3.97436,4,2.26832,"2018-12-04 08:56:15"
899,16928,"FA18UCpost","dccs",6.07645,4,1.58927,"2018-12-04 08:55:27"
898,16929,"FA18UCpost","dccs",7.26471,5,2.52112,"2018-12-11 09:00:08"
897,16930,"FA18UCpost","dccs",7.64932,5,2.90573,"2018-12-04 08:56:24"
896,16931,"FA18UCpost","dccs",7.16422,5,2.42063,"2018-12-04 08:54:48"
895,16932,"FA18UCpost","dccs",7.67226,4,3.18508,"2018-12-11 08:55:55"
894,16933,"FA18UCpost","dccs",7.24107,4,2.75389,"2018-12-04 08:54:29"
893,16934,"FA18UCpost","dccs",7.97981,5,3.10801,"2018-12-04 08:55:13"
892,16935,"FA18UCpost","dccs",7.45399,5,2.45399,"2018-12-04 08:56:51"
891,16936,"FA18UCpost","dccs",8.87561,5,3.87561,"2018-12-04 08:55:45"
890,16937,"FA18UCpost","dccs",6.9056,4,2.41843,"2018-12-04 08:55:28"
889,16938,"FA18UCpost","dccs",6.94637,5,2.07458,"2018-12-04 08:57:30"
888,16940,"FA18UCpost","dccs",6.91937,5,1.91937,"2018-12-04 08:56:39"
887,16941,"FA18UCpost","dccs",8.42936,5,3.68577,"2018-12-04 08:58:07"
858,16944,"FA18UCpost","dccs",2.5641,3,0.743708,"2018-12-04 09:32:55"
857,16945,"FA18UCpost","dccs",2.4359,2,1.01539,"2018-12-11 09:37:16"
856,16946,"FA18UCpost","dccs",6.28625,4,1.92727,"2018-12-04 09:33:50"
855,16947,"FA18UCpost","dccs",7.70068,4,3.2135,"2018-12-04 09:30:08"
854,16948,"FA18UCpost","dccs",8.23427,5,3.23427,"2018-12-04 09:31:28"
853,16949,"FA18UCpost","dccs",7.24115,5,2.36615,"2018-12-11 09:32:03"
852,16950,"FA18UCpost","dccs",8.09326,5,3.22147,"2018-12-04 09:34:21"
850,16951,"FA18UCpost","dccs",6.40866,5,1.66507,"2018-12-04 09:32:07"
