"id","userID","accessCode","task","post_nihScore","post_nihAccuracy","post_nihRTScore"
1353,18661,"FA18UCpost","flanker",7.80402,5,2.80402
1354,18618,"FA18UCpost","flanker",7.07069,4,3.02307
1355,18617,"FA18UCpost","flanker",7.94258,5,2.94258
1356,17347,"FA18UCpost","flanker",3.92857,4,2.6504
1357,17346,"FA18UCpost","flanker",8.58668,5,3.58668
1358,17345,"FA18UCpost","flanker",8.47424,5,3.47424
1359,17344,"FA18UCpost","flanker",7.67907,5,2.67907
1360,17100,"FA18UCpost","flanker",6.34134,4,1.93658
1361,17099,"FA18UCpost","flanker",7.61619,5,3.09238
1362,17098,"FA18UCpost","flanker",8.27611,5,3.39516
1363,17097,"FA18UCpost","flanker",8.13559,5,3.13559
1364,17097,"FA18UCpost","flanker",8.13559,5,3.13559
1365,17097,"FA18UCpost","flanker",8.13559,5,3.13559
1366,17097,"FA18UCpost","flanker",8.13559,5,3.13559
1367,17096,"FA18UCpost","flanker",7.76805,4,3.48234
1368,17095,"FA18UCpost","flanker",7.67382,5,2.67382
1369,17094,"FA18UCpost","flanker",7.78308,5,2.90213
1370,17093,"FA18UCpost","flanker",8.01017,5,3.24826
1371,17092,"FA18UCpost","flanker",7.92899,5,2.92899
1372,17091,"FA18UCpost","flanker",7.69994,5,2.93804
1373,17090,"FA18UCpost","flanker",7.49528,5,2.85242
1374,17089,"FA18UCpost","flanker",7.60253,5,2.72158
1375,17088,"FA18UCpost","flanker",7.23427,5,2.23427
1376,17087,"FA18UCpost","flanker",7.71614,5,2.83519
1377,17086,"FA18UCpost","flanker",8.1026,5,3.22165
1378,17085,"FA18UCpost","flanker",7.46781,5,2.58686
1379,17083,"FA18UCpost","flanker",8.25902,5,3.25902
1380,17175,"FA18UCpost","flanker",5,5,0
1381,17175,"FA18UCpost","flanker",5,5,0
1382,17175,"FA18UCpost","flanker",5,5,0
1383,17174,"FA18UCpost","flanker",7.6478,5,2.8859
1384,17173,"FA18UCpost","flanker",6.73897,5,2.09611
1385,17172,"FA18UCpost","flanker",8.39322,5,3.39322
1386,17170,"FA18UCpost","flanker",7.87411,5,3.1122
1387,17169,"FA18UCpost","flanker",6.65071,5,1.65071
1388,17168,"FA18UCpost","flanker",8.07603,5,3.07603
1389,17167,"FA18UCpost","flanker",6.70105,5,1.70105
1390,17166,"FA18UCpost","flanker",7.76245,5,2.8815
1391,17164,"FA18UCpost","flanker",7.74729,5,2.74729
1392,17163,"FA18UCpost","flanker",6.83135,4,2.66468
1393,17162,"FA18UCpost","flanker",7.40839,5,2.40839
1394,17161,"FA18UCpost","flanker",6.40307,5,1.52212
1395,17160,"FA18UCpost","flanker",3.69048,4,2.1884
1396,17159,"FA18UCpost","flanker",5.7864,5,0.786402
1397,17158,"FA18UCpost","flanker",6.56341,4,2.51579
1398,17157,"FA18UCpost","flanker",8.05016,5,3.05016
1399,17156,"FA18UCpost","flanker",7.86255,5,2.86255
1400,17077,"FA18UCpost","flanker",7.52785,5,2.52785
1401,17076,"FA18UCpost","flanker",3.92857,4,2.75685
1402,17074,"FA18UCpost","flanker",5.76128,5,1.11842
1403,17073,"FA18UCpost","flanker",7.99315,5,3.1122
1404,17072,"FA18UCpost","flanker",7.78497,5,3.02307
1405,17071,"FA18UCpost","flanker",7.33769,5,2.81388
1406,17070,"FA18UCpost","flanker",3.92857,4,1.62976
1407,17069,"FA18UCpost","flanker",3.21429,3,3.711
1408,17068,"FA18UCpost","flanker",8.05256,4,3.64779
1409,17067,"FA18UCpost","flanker",7.82615,5,3.18329
1410,17066,"FA18UCpost","flanker",7.29502,5,2.41407
1411,17065,"FA18UCpost","flanker",8.17652,5,3.41461
1412,17064,"FA18UCpost","flanker",5,5,0
1413,17062,"FA18UCpost","flanker",7.61433,5,2.85242
1414,17062,"FA18UCpost","flanker",3.21429,3,5
1415,17061,"FA18UCpost","flanker",3.92857,4,2.42319
1416,17060,"FA18UCpost","flanker",2.97619,3,0.0288425
1417,17059,"FA18UCpost","flanker",8.28436,5,3.28436
1418,17058,"FA18UCpost","flanker",7.58647,5,2.70552
1419,17152,"FA18UCpost","flanker",7.55098,5,2.55098
1420,17151,"FA18UCpost","flanker",8.33111,5,3.45016
1421,17150,"FA18UCpost","flanker",3.80952,4,1.16294
1422,17149,"FA18UCpost","flanker",6.60264,5,1.84073
1423,17147,"FA18UCpost","flanker",7.00408,5,2.12312
1424,17146,"FA18UCpost","flanker",6.61312,5,1.97026
1425,17145,"FA18UCpost","flanker",3.80952,4,1.44179
1426,17144,"FA18UCpost","flanker",7.2519,5,2.2519
1427,17143,"FA18UCpost","flanker",3.45238,3,1.77198
1428,17142,"FA18UCpost","flanker",7.57014,5,2.80824
1429,17141,"FA18UCpost","flanker",7.65155,5,2.7706
1430,17140,"FA18UCpost","flanker",7.98322,5,3.10227
1431,17139,"FA18UCpost","flanker",7.35694,5,2.35694
