"id","userID","accessCode","task","pre_nihScore","pre_nihAccuracy","pre_nihRTScore","dateTime"
522,17027,"PUF18a","dccs",7.22758,4,2.85258,"2018-10-09 09:38:59"
506,17028,"PUF18a","dccs",7.89198,5,2.89198,"2018-10-09 09:45:00"
508,17029,"PUF18a","dccs",7.37632,5,2.75132,"2018-10-09 09:45:59"
510,17030,"PUF18a","dccs",8.05068,5,3.17568,"2018-10-09 09:45:20"
507,17031,"PUF18a","dccs",6.97765,5,2.47765,"2018-10-09 09:44:41"
505,17032,"PUF18a","dccs",6.37184,5,1.74684,"2018-10-09 09:44:38"
512,17033,"PUF18a","dccs",8.29983,5,3.54983,"2018-10-09 09:43:34"
483,17035,"PUF18a","dccs",7.4669,5,2.7169,"2018-10-09 10:11:16"
475,17036,"PUF18a","dccs",7.54444,4,3.16944,"2018-10-09 10:10:20"
479,17037,"PUF18a","dccs",7.09159,5,2.59159,"2018-10-09 10:10:23"
480,17038,"PUF18a","dccs",8.01661,5,3.26661,"2018-10-09 10:09:11"
491,17039,"PUF18a","dccs",6.77911,5,2.15411,"2018-10-09 10:07:40"
477,17040,"PUF18a","dccs",6.64932,5,1.89932,"2018-10-09 10:10:08"
481,17041,"PUF18a","dccs",7.35945,5,2.48445,"2018-10-09 10:09:51"
478,17042,"PUF18a","dccs",8.90473,5,4.27973,"2018-10-09 10:09:23"
487,17043,"PUF18a","dccs",7.40217,5,2.77717,"2018-10-09 10:08:02"
470,17044,"PUF18a","dccs",7.82716,5,2.82716,"2018-10-09 10:13:35"
469,17045,"PUF18a","dccs",7.28073,4,2.90573,"2018-10-09 10:13:27"
467,17046,"PUF18a","dccs",7.31113,5,2.43613,"2018-10-09 10:14:46"
476,17048,"PUF18a","dccs",3.5,4,3.82025,"2018-10-09 10:09:16"
474,17049,"PUF18a","dccs",7.32051,5,2.69551,"2018-10-09 10:10:38"
410,17051,"PUF18","dccs",6.75305,4,2.52228,"2018-10-16 10:20:46"
409,17058,"PUF18","dccs",7.30793,5,2.43613,"2018-10-10 09:10:34"
407,17059,"PUF18","dccs",3.84615,4,3.39581,"2018-10-10 09:07:48"
408,17060,"PUF18","dccs",2.17949,2,2.60116,"2018-10-10 09:06:12"
405,17061,"PUF18","dccs",2.05128,2,3.46966,"2018-10-10 09:06:08"
404,17062,"PUF18","dccs",6.31456,4,1.95559,"2018-10-24 08:57:59"
403,17063,"PUF18","dccs",2.05128,2,3.63499,"2018-10-10 09:06:37"
402,17064,"PUF18","dccs",2.5,3,3.14774,"2018-10-10 09:08:53"
401,17065,"PUF18","dccs",7.82751,5,3.08392,"2018-10-10 09:08:15"
400,17066,"PUF18","dccs",3.46154,3,1.21492,"2018-10-24 09:00:27"
399,17067,"PUF18","dccs",2.5,3,3.72766,"2018-10-10 09:12:59"
397,17068,"PUF18","dccs",7.53218,5,2.9168,"2018-10-10 09:07:52"
396,17069,"PUF18","dccs",5.91966,4,1.6604,"2018-10-10 09:12:12"
394,17070,"PUF18","dccs",6.86398,4,2.505,"2018-10-10 09:10:22"
393,17071,"PUF18","dccs",7.51909,4,3.16012,"2018-10-10 09:07:11"
392,17072,"PUF18","dccs",6.79285,4,2.30567,"2018-10-10 09:06:54"
391,17073,"PUF18","dccs",6.66977,4,2.18259,"2018-10-10 09:04:26"
390,17074,"PUF18","dccs",7.01519,5,2.1434,"2018-10-24 09:04:00"
389,17075,"PUF18","dccs",6.58921,4,2.10203,"2018-10-31 09:04:12"
388,17076,"PUF18","dccs",2.05128,2,2.44951,"2018-10-31 09:08:41"
387,17077,"PUF18","dccs",3.66667,4,2.36185,"2018-11-28 09:09:27"
385,17083,"PUF18","dccs",6.94048,5,2.34048,"2018-10-10 10:24:15"
384,17084,"PUF18","dccs",0,5,0,"2018-10-10 10:22:36"
381,17085,"PUF18","dccs",8.67338,5,4.00671,"2018-10-10 10:22:55"
380,17086,"PUF18","dccs",7.43751,4,2.95033,"2018-10-10 10:19:41"
378,17087,"PUF18","dccs",3.04348,3,1.3147,"2018-10-10 10:21:51"
377,17088,"PUF18","dccs",6.55958,5,1.68778,"2018-10-24 10:03:53"
375,17089,"PUF18","dccs",6.77144,5,2.15606,"2018-10-10 10:24:18"
374,17090,"PUF18","dccs",7.90831,5,3.03652,"2018-10-10 10:21:27"
373,17091,"PUF18","dccs",6.99755,5,2.25396,"2018-10-10 10:21:29"
372,17092,"PUF18","dccs",4.48718,4,0,"2018-10-10 10:18:19"
371,17093,"PUF18","dccs",9.36282,5,4.61923,"2018-10-10 10:16:14"
370,17094,"PUF18","dccs",8.12561,5,3.38202,"2018-10-10 10:15:22"
369,17095,"PUF18","dccs",7.05869,5,2.3151,"2018-10-10 10:14:43"
368,17096,"PUF18","dccs",3.20513,3,4.03438,"2018-10-10 10:16:42"
367,17097,"PUF18","dccs",7.47416,5,2.60236,"2018-10-10 10:16:30"
366,17098,"PUF18","dccs",7.59978,5,2.9844,"2018-10-10 10:18:19"
365,17099,"PUF18","dccs",6.88548,5,1.88548,"2018-10-10 10:20:10"
364,17100,"PUF18","dccs",6.42238,4,1.9352,"2018-10-10 10:21:51"
363,17132,"PUF18","dccs",7.57985,5,2.96446,"2018-10-10 09:13:43"
362,17133,"PUF18","dccs",7.32233,4,2.83515,"2018-10-10 09:13:37"
