"id","userID","accessCode","task","pre_nihScore","pre_nihAccuracy","pre_nihRTScore"
755,17557,"PUF18","flanker",6.49132,4,2.08656
756,17556,"PUF18","flanker",7.07896,5,2.07896
757,17555,"PUF18","flanker",3.45238,3,0.347369
758,17554,"PUF18","flanker",8.49251,5,3.49251
759,17553,"PUF18","flanker",8.06629,5,3.06629
760,17552,"PUF18","flanker",7.93351,5,2.93351
761,17551,"PUF18","flanker",8.33362,5,3.57171
762,17550,"PUF18","flanker",8.27611,5,3.39516
763,17549,"PUF18","flanker",7.50619,5,2.98238
764,17548,"PUF18","flanker",7.94239,5,3.06143
765,17548,"PUF18","flanker",7.94239,5,3.06143
766,17547,"PUF18","flanker",8.24831,5,3.4864
767,16908,"PUF18","flanker",7.99481,5,2.99481
768,16907,"PUF18","flanker",8.20399,5,3.32304
769,16906,"PUF18","flanker",8.26646,5,3.38551
770,16905,"PUF18","flanker",5.64216,4,1.35644
771,16904,"PUF18","flanker",5.87754,4,1.82992
772,16903,"PUF18","flanker",8.07603,5,3.07603
773,16902,"PUF18","flanker",8.13972,5,3.37782
774,16901,"PUF18","flanker",8.22871,5,3.22871
775,16900,"PUF18","flanker",7.20458,5,2.20458
776,16900,"PUF18","flanker",5,5,0
777,16899,"PUF18","flanker",7.79421,5,2.79421
778,16898,"PUF18","flanker",7.43927,5,2.43927
779,16897,"PUF18","flanker",5,5,0
780,16896,"PUF18","flanker",7.67376,5,2.79281
781,16896,"PUF18","flanker",5,5,0
782,16895,"PUF18","flanker",6.66809,5,1.66809
783,16890,"PUF18","flanker",8.3391,5,3.45815
784,16889,"PUF18","flanker",7.30965,5,2.78584
785,16888,"PUF18","flanker",7.81926,5,3.1764
786,16887,"PUF18","flanker",7.77126,5,2.89031
787,16886,"PUF18","flanker",8.11054,5,3.11054
788,16885,"PUF18","flanker",7.91402,5,2.91402
789,16884,"PUF18","flanker",7.60948,5,2.60948
790,16883,"PUF18","flanker",7.97334,5,3.09238
791,16882,"PUF18","flanker",5.30904,4,1.26142
792,16881,"PUF18","flanker",8.11054,5,3.11054
793,16880,"PUF18","flanker",7.72408,4,3.31932
794,16879,"PUF18","flanker",3.45238,3,1.62382
795,16878,"PUF18","flanker",7.04139,5,2.04139
796,16877,"PUF18","flanker",8.17296,5,3.17296
797,16876,"PUF18","flanker",7.78584,5,2.78584
798,16875,"PUF18","flanker",8.42245,5,3.42245
799,16874,"PUF18","flanker",3.57143,4,3.81006
800,16873,"PUF18","flanker",8.41461,5,3.41461
801,16872,"PUF18","flanker",6.33984,5,1.33984
802,16871,"PUF18","flanker",8.03478,5,3.51097
803,16870,"PUF18","flanker",6.22521,5,1.22521
804,16868,"PUF18","flanker",6.96648,5,2.20458
805,16867,"PUF18","flanker",8.34914,5,3.46819
806,16866,"PUF18","flanker",5,5,0
807,16865,"PUF18","flanker",7.2371,4,2.83234
808,16864,"PUF18","flanker",8.43428,5,3.43428
809,16863,"PUF18","flanker",7.85805,5,3.33424
810,16862,"PUF18","flanker",8.15079,5,3.15079
811,16861,"PUF18","flanker",8.13559,5,3.13559
812,16860,"PUF18","flanker",8.00314,5,3.12219
813,16859,"PUF18","flanker",5,5,0
814,16858,"PUF18","flanker",7.77568,5,2.89473
815,16857,"PUF18","flanker",8.54214,5,3.54214
816,16856,"PUF18","flanker",6.44615,4,2.04139
817,16855,"PUF18","flanker",4.42208,4,0.0173135
818,16854,"PUF18","flanker",8.45907,5,3.57811
819,16853,"PUF18","flanker",8.4336,5,3.55265
820,16852,"PUF18","flanker",8.23599,5,3.59313
821,16852,"PUF18","flanker",8.23599,5,3.59313
822,16851,"PUF18","flanker",3.45238,3,3.52545
823,16850,"PUF18","flanker",7.15697,5,2.27602
824,16848,"PUF18","flanker",7.58647,5,2.70552
825,16847,"PUF18","flanker",3.92857,4,1.23901
826,16846,"PUF18","flanker",7.86179,5,2.98084
827,16845,"PUF18","flanker",8.0891,5,3.0891
828,16844,"PUF18","flanker",3.92857,4,3.09567
829,16843,"PUF18","flanker",8.53319,5,3.65224
830,16842,"PUF18","flanker",6.95431,4,2.66859
831,16841,"PUF18","flanker",5,5,0
832,16840,"PUF18","flanker",8.69955,5,3.69955
833,16839,"PUF18","flanker",6.96669,5,1.96669
834,16838,"PUF18","flanker",3.57143,4,1.07936
835,16837,"PUF18","flanker",7.89621,5,2.89621
836,16836,"PUF18","flanker",8.56958,5,3.56958
837,16835,"PUF18","flanker",7.44053,5,2.55958
838,16834,"PUF18","flanker",8.13459,5,3.25363
839,16833,"PUF18","flanker",6.953,4,2.66729
840,16832,"PUF18","flanker",8.48234,5,3.48234
841,16831,"PUF18","flanker",8.07289,5,3.19194
842,16830,"PUF18","flanker",7.20419,5,2.68038
843,16829,"PUF18","flanker",8.50231,5,3.62136
844,16828,"PUF18","flanker",8.02633,5,3.26442
845,16827,"PUF18","flanker",8.03736,5,3.03736
846,16826,"PUF18","flanker",7.91354,5,3.03258
847,16825,"PUF18","flanker",3.21429,3,2.09803
848,16824,"PUF18","flanker",7.42826,5,2.54731
849,16823,"PUF18","flanker",3.69048,4,2.23118
850,16822,"PUF18","flanker",3.33333,3,3.96676
851,16821,"PUF18","flanker",7.40637,4,3.35875
852,16820,"PUF18","flanker",8.28776,5,3.40681
853,16819,"PUF18","flanker",7.69755,5,2.69755
854,16818,"PUF18","flanker",7.66751,5,3.02465
855,16817,"PUF18","flanker",7.77006,5,3.12721
856,16816,"PUF18","flanker",8.32863,5,3.32863
857,16815,"PUF18","flanker",3.45238,3,3.29167
858,16814,"PUF18","flanker",8.45907,5,3.57811
859,16813,"PUF18","flanker",8.47424,5,3.47424
860,16812,"PUF18","flanker",7.33628,5,2.81247
861,16811,"PUF18","flanker",7.07338,5,2.19243
862,16810,"PUF18","flanker",8.13896,5,3.13896
863,16809,"PUF18","flanker",7.797,5,2.797
864,16808,"PUF18","flanker",3.33333,3,0.514008
865,16806,"PUF18","flanker",8.22871,5,3.22871
866,16805,"PUF18","flanker",8.42836,5,3.42835
867,16804,"PUF18","flanker",3.80952,4,2.42548
868,16803,"PUF18","flanker",7.93229,4,3.52753
869,16802,"PUF18","flanker",7.94234,5,3.41853
870,16801,"PUF18","flanker",8.27998,5,3.39903
871,16800,"PUF18","flanker",8.48437,5,3.48437
872,16799,"PUF18","flanker",8.14233,5,3.14233
873,16798,"PUF18","flanker",2.97619,3,2.76371
874,16797,"PUF18","flanker",8.01112,5,3.36826
875,16796,"PUF18","flanker",5.00739,5,0.364534
876,16795,"PUF18","flanker",3.33333,3,0.122775
877,16793,"PUF18","flanker",8.23048,5,3.23048
878,16792,"PUF18","flanker",8.10557,5,3.10557
879,16791,"PUF18","flanker",7.26232,5,2.38137
880,16790,"PUF18","flanker",7.45083,5,2.45083
881,16789,"PUF18","flanker",2.85714,3,0
882,16788,"PUF18","flanker",8.55898,5,3.55898
883,16787,"PUF18","flanker",8.03684,5,3.15588
884,16786,"PUF18","flanker",7.5074,5,2.5074
885,16785,"PUF18","flanker",8.25363,5,3.25363
886,16784,"PUF18","flanker",7.95626,5,2.95626
887,16783,"PUF18","flanker",7.92749,5,2.92749
888,16782,"PUF18","flanker",6.63968,4,2.47302
889,16781,"PUF18","flanker",6.24897,5,1.60611
890,16780,"PUF18","flanker",8.23401,5,3.35306
891,16779,"PUF18","flanker",7.6378,5,2.75685
892,16778,"PUF18","flanker",7.91831,5,3.03736
893,16777,"PUF18","flanker",8.2789,5,3.2789
894,16776,"PUF18","flanker",8.25494,5,3.37399
895,16775,"PUF18","flanker",6.86955,5,2.10764
896,16774,"PUF18","flanker",7.61709,5,2.61709
897,16773,"PUF18","flanker",7.52287,5,2.76096
898,16772,"PUF18","flanker",8.28254,5,3.28254
899,16771,"PUF18","flanker",8.06728,5,3.42442
900,16770,"PUF18","flanker",8.04215,5,3.04215
901,8291,"PUF18","flanker",8.09031,5,3.20935
902,17347,"PUF18","flanker",2.85714,3,0
903,17346,"PUF18","flanker",8.13781,5,3.3759
904,17345,"PUF18","flanker",8.08332,5,3.20237
905,17343,"PUF18","flanker",8.10742,5,3.34551
906,17344,"PUF18","flanker",7.78012,5,2.89917
907,17175,"PUF18","flanker",4.64286,5,0
908,17174,"PUF18","flanker",7.96237,5,2.96237
909,17173,"PUF18","flanker",6.36516,4,2.1985
910,17172,"PUF18","flanker",3.80952,4,2.80542
911,17172,"PUF18","flanker",6.96761,4,2.91999
912,17172,"PUF18","flanker",8.10365,5,3.34175
913,17172,"PUF18","flanker",8.10365,5,3.34175
914,17171,"PUF18","flanker",7.44126,5,2.7984
915,17170,"PUF18","flanker",7.56285,5,2.91999
916,17169,"PUF18","flanker",3.92857,4,2.07138
917,17168,"PUF18","flanker",7.5327,5,2.5327
918,17167,"PUF18","flanker",8.45907,5,3.57811
919,17166,"PUF18","flanker",7.68696,5,2.68696
920,17165,"PUF18","flanker",3.57143,4,1.62012
921,17164,"PUF18","flanker",7.92299,5,2.92299
922,17163,"PUF18","flanker",6.76517,4,2.71755
923,17162,"PUF18","flanker",8.09238,5,3.09238
