"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","nondominant_cntTotal","nondominant_cntCorrect","nondominant_rtMean","nondominant_rtMedian","nondominant_rtStDev","nondominant_nihMedian","nondominant_accuracy_Fieldname","dominant_cntTotal","dominant_cntCorrect","dominant_rtMean","dominant_rtMedian","dominant_rtStDev","dominant_nihMedian","dominant_accuracy_Fieldname","reportDate"
"435","PUF18","3277","16945","NA","dccs","348e29b0netq0g0gp8s06d44t2","pub_MTuXiyDjLd","2.30769","2018-10-16 09:44:54","39","18","2","0","1.48283","6","6","1523.33","1515.5","637.155","1515.5","1","23","2","1705","1705","1055","1705","0.0869565","2019-03-20 15:51:32"
"434","PUF18","3277","16946","NA","dccs","t8r2h3tliu5lmco4qga0fvdj25","pub_EwRgpfF5p_","3.46154","2018-10-16 09:47:29","39","27","3","0","2.28795","6","3","1497","1046","857.603","1046","0.5","23","14","2800.79","1174.5","2945.57","1174.5","0.608696","2019-03-20 15:51:29"
"433","PUF18","3277","16950","NA","dccs","1nne0oopckg83r7sb54ltpkhj7","pub_u~OX9pTnCq","6.71632","2018-10-16 09:34:33","39","39","5","1","1.71632","6","6","1449.67","1361","613.749","1361","1","23","23","1289.74","1081","766.996","1035.5","1","2019-03-20 15:51:25"
"432","PUF18","3277","16930","NA","dccs","f05q48brfmbsq4vtr2pidpci20","pub_BzX-b_75TG","7.26873","2018-10-16 09:04:31","39","36","5","1","2.65334","6","6","1004","884","398.057","884","1","23","20","1717.6","1345.5","1140.39","1345.5","0.869565","2019-03-20 15:50:49"
"431","PUF18","3277","16936","NA","dccs","vmguqaff0n55c36l3hia8bojr6","pub_dWmWB0wcu2","7.95597","2018-10-16 09:05:12","39","39","5","1","2.95597","6","6","863.5","769","256.552","769","1","23","23","739.913","679","215.42","679","1","2019-03-20 15:50:46"
"430","PUF18","3277","16937","NA","dccs","3rvv2qtepbclrsok4kpim87593","pub_4SNeIr34D5","6.34867","2018-10-16 09:07:58","39","34","4","1","1.9897","6","1","1200","1200","0","1200","0.166667","23","23","1015.09","709","924.872","708","1","2019-03-20 15:50:42"
"429","PUF18","3277","16938","NA","dccs","ddjphaoosocpkhsoqr129j7n90","pub_yuxQJE15ls","7.98816","2018-10-23 09:11:30","21","20","5","1","3.22626","2","2","679","679","175.362","679","1","9","8","745.125","734","111.021","734","0.888889","2019-03-20 15:50:28"
"428","PUF18","3277","16938","NA","dccs","qokpcj2iaunnqvalnt9iii2cr4","pub_uNf8vEBlwr","7.10667","2018-10-30 08:52:00","39","36","5","1","2.49128","6","6","1128.17","952.5","419.395","952.5","1","23","20","1395.75","1315","360.353","1315","0.869565","2019-03-20 15:50:28"
"427","PUF18","3277","16939","NA","dccs","8f4p717094qbtg874sonv1rp43","pub_FG3zovZDTT","3.84615","2018-10-23 09:07:41","39","30","4","0","0.587852","6","4","3359","2288.5","3073.54","2288.5","0.666667","23","16","1488","1219","1222.97","1172","0.695652","2019-03-20 15:50:25"
"426","PUF18","3277","16940","NA","dccs","l191dq3p8a1nuau7lc45okf7v0","pub_cCLAdxuezb","7.56971","2018-10-23 09:08:21","40","37","5","1","2.94471","7","6","797.167","773","207.005","773","0.857143","23","21","996.333","927","332.955","927","0.913043","2019-03-20 15:50:14"
"425","PUF18","3277","16941","NA","dccs","0h6brfl1um2dv1pigpa1jkedv1","pub_6G1r4xinp5","7.5841","2018-10-23 09:09:06","39","36","5","1","2.96872","6","6","1138.17","764.5","825.565","764.5","1","23","20","933.75","626.5","674.115","626.5","0.869565","2019-03-20 15:49:59"
"424","PUF18","3277","16949","NA","dccs","ro23htr72pukkkbr08tqlt7h25","pub_fx4d5kSVLV","3.71795","2018-10-23 09:38:53","39","29","4","0","4.3537","6","3","299.667","221","257.187","404","0.5","23","16","637.875","632","382.259","636","0.695652","2019-03-20 15:49:45"
"423","PUF18","3277","16951","NA","dccs","6b6cb03subpebja03nkbn38i30","pub_ZRX@8OSxj_","6.43543","2018-10-16 09:38:20","39","34","4","1","2.07646","6","3","1229","1153","206.756","1153","0.5","23","21","1776.29","1313","1412.22","1300","0.913043","2019-03-20 15:49:42"
"422","PUF18","3277","16952","NA","dccs","ev6ojstv2lmf8j9jkjgap9tsj1","pub_blmGUkl0Sa","3.58974","2018-10-23 09:35:59","39","28","4","0","5","6","3","197.667","217","119.182","300","0.5","23","15","1039.27","322","1564.76","1224","0.652174","2019-03-20 15:49:39"
"421","PUF18","3277","16953","NA","dccs","q7o5dhnbm76bu8b96lu7iledj1","pub_-gAkxuYNqQ","7.92301","2018-10-16 09:40:23","39","38","5","1","3.05122","6","5","747.8","736","101.386","736","0.833333","23","23","641.652","611","261.806","601.5","1","2019-03-20 15:49:35"
"420","PUF18","3277","16954","NA","dccs","bguv33luoi36g4uksultb0qs94","pub_WlBU7DnBet","7.48338","2018-10-16 09:39:11","39","37","5","1","2.73979","6","4","867","849.5","154.214","849.5","0.666667","23","23","728.609","689","274.816","689","1","2019-03-20 15:49:33"
"419","PUF18","3277","16955","NA","dccs","gv19m65dldiaj6786vnebrdu05","pub_TLt8Fx-s8w","7.15408","2018-10-16 09:38:33","39","35","4","1","2.6669","6","4","919.75","878.5","259.743","878.5","0.666667","23","21","975.381","698","1018.94","654","0.913043","2019-03-20 15:49:14"
"418","PUF18","3277","16956","NA","dccs","e55pd168b1ede10o8s6nhtijd6","pub_Vc9150ckOz","3.84615","2018-10-16 09:45:06","39","30","4","0","1.49792","6","1","1505","1505","0","1505","0.166667","23","19","1570.47","1139","1043.14","1139","0.826087","2019-03-20 15:49:11"
"417","PUF18","3277","16957","NA","dccs","rj25f4enuu7agdv5h6pn255ti2","pub_QQ3I2y4fYp","7.9419","2018-10-23 09:39:24","39","39","5","1","2.9419","6","6","823.667","774","147.275","774","1","23","23","980.652","706","735.532","685.5","1","2019-03-20 15:49:04"
"416","PUF18","3277","16958","NA","dccs","n0u0jj223jctrlrr7r5d2re3n0","pub_bMhQMYx8Ww","7.33862","2018-10-23 09:39:24","39","36","5","1","2.72324","6","4","818.25","856","154.707","856","0.666667","23","22","878.182","704.5","487.117","704","0.956522","2019-03-20 15:49:00"
"415","PUF18","3277","16959","NA","dccs","ifv046c0mp6bsduinlg14sa8c4","pub_fsa_pOWnx5","2.375","2018-10-30 09:32:04","40","19","2","0","2.80202","7","2","825.5","825.5","416.486","825.5","0.285714","23","7","1634.86","1028","1804.25","1028","0.304348","2019-03-20 15:48:57"
"414","PUF18","3277","16960","NA","dccs","r52vh0n9kunftvgk33kaf3t621","pub_mIOATv1uMO","7.23297","2018-11-20 09:41:22","40","34","4","1","2.98297","7","4","787.25","759.5","76.4956","759.5","0.571429","23","20","902.25","886","231.005","886","0.869565","2019-03-20 15:48:54"
"413","PUF18","3277","16996","NA","dccs","ur4imeh908u9lut1u4cg0o3e31","pub_GzgLebcDGj","3.07692","2018-10-16 09:03:19","39","24","3","0","5","6","4","216.25","181.5","197.637","300","0.666667","23","10","179.4","90.5","246.157","300","0.434783","2019-03-20 15:47:50"
"412","PUF18","3277","16998","NA","dccs","792g1l1keo6vvqdp41v1d107l7","pub_pL~gBEC2yH","3.58974","2018-10-16 09:05:23","39","28","4","0","2.62164","6","1","897","897","0","897","0.166667","23","17","1724","814","1953.59","809","0.73913","2019-03-20 15:47:44"
"411","PUF18","3277","17043","NA","dccs","snii2dnm3adtdd0kj6ebdlln87","pub_L6vK5ZfJ4~","6.93511","2018-12-11 10:08:36","39","38","5","1","2.06332","6","6","1263.17","1160","542.091","1160","1","23","22","1268.64","1184.5","479.227","1184.5","0.956522","2019-03-20 15:47:04"
"410","PUF18","3277","17051","NA","dccs","cl1o6e27m3jk6gfss33dbrv083","pub_qdAp2oool0","6.75305","2018-10-16 10:20:46","39","33","4","1","2.52228","6","3","870.333","939","250.171","939","0.5","23","20","901.95","863.5","451.799","888","0.869565","2019-03-20 15:46:46"
"409","PUF18","3277","17058","NA","dccs","jauo62o2vq9qg90roe5hjbgf12","pub_Jq-EcRMc4_","7.30793","2018-10-10 09:10:34","39","38","5","1","2.43613","6","5","1055.8","977","256.863","977","0.833333","23","23","1444.35","753","1984.9","737.5","1","2019-03-20 15:46:31"
"408","PUF18","3277","17060","NA","dccs","7v15ha9q5tcg78nvqmsug796d4","pub_DxtApeFptx","2.17949","2018-10-10 09:06:12","39","17","2","0","2.60116","6","6","883.167","905.5","174.937","905.5","1","23","1","1534","1534","0","1534","0.0434783","2019-03-20 15:46:28"
"407","PUF18","3277","17059","NA","dccs","h33u4kevvat9dokvtvtf84jnl5","pub_J3nIW1i_s4","3.84615","2018-10-10 09:07:48","39","30","4","0","3.39581","6","5","620.2","628","179.458","628","0.833333","23","15","779.6","625","543.12","625","0.652174","2019-03-20 15:46:22"
"406","PUF18","3277","17060","NA","dccs","7v15ha9q5tcg78nvqmsug796d4","pub_DxtApeFptx","2.17949","2018-10-10 09:06:12","39","17","2","0","2.60116","6","6","883.167","905.5","174.937","905.5","1","23","1","1534","1534","0","1534","0.0434783","2019-03-20 15:46:20"
"405","PUF18","3277","17061","NA","dccs","e3pes64dvkub54rgg6g34nbrq2","pub_uzX8TIw4GV","2.05128","2018-10-10 09:06:08","39","16","2","0","3.46966","6","6","794.333","607","346.694","607","1","23","0","0","0","0","0","0","2019-03-20 15:46:17"
